Year,2022,2021,2020,2019
Net Income,-1.18,23.61,11.84,4.02
Depreciation & Amortization,1.72,1.34,1.41,1.49
Share-Based Compensation,0.85,0.52,0.62,0.39
Other Operating Activities,438.04,468.91,-122.56,-44.89
Operating Cash Flow,440.25,495.39,-107.82,-38.53
Operating Cash Flow Growth,-11.13%,-,-,-
Capital Expenditures,-8.06,-13.12,-3.05,-7.31
Change in Investments,-502.54,232.73,-918.33,-30.42
Other Investing Activities,-,-12,-12,-
Investing Cash Flow,-510.61,207.62,-933.38,-37.74
Dividends Paid,-1.29,-1.06,-0.92,-0.85
Share Issuance / Repurchase,0.58,2.22,1.18,5.39
Debt Issued / Paid,-45.11,-812.06,869.92,7.27
Other Financing Activities,72.49,162.25,115.82,146.14
Financing Cash Flow,26.67,-648.66,986,157.96
Net Cash Flow,-43.68,54.35,-55.2,81.7
Free Cash Flow,432.19,482.27,-110.87,-45.84
Free Cash Flow Growth,-10.39%,-,-,-
Free Cash Flow Margin,694.28%,777.87%,-97.04%,-74.30%
Free Cash Flow Per Share,107.03,121.36,-28.67,-
