Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Net Income,545.55,512.13,304.73,400.88,359.44,173.98,127.23,95.51,70.47,57.73,Upgrade
Depreciation & Amortization,62.3,53.26,45.2,8.34,-23.6,-23.62,0.19,10.27,9.28,9.25,Upgrade
Share-Based Compensation,36.53,22.48,18.32,20.22,14.67,14.17,6.37,3.23,3.61,3.69,Upgrade
Other Operating Activities,-54.64,54.39,50.91,2.06,120.25,1.33,18.54,-24.4,11.7,55.77,Upgrade
Operating Cash Flow,604.93,657.44,426.75,431.5,470.76,165.86,152.32,84.6,95.06,126.44,Upgrade
Operating Cash Flow Growth,-7.99%,54.06%,-1.10%,-8.34%,183.82%,8.89%,80.03%,-11.00%,-24.82%,10.64%,Upgrade
Capital Expenditures,-63.65,-22.9,-39.76,-42.09,-20.77,-53.48,-14.87,-10.09,-5.88,-5.29,Upgrade
Acquisitions,-30.9,0,0,-44.59,0,155.14,17.61,5.88,0,0,Upgrade
Change in Investments,"-6,492.84","-3,597.8","-3,472.59","-2,428.36","-2,867.87","-2,165.92","-1,285.12",-738.39,-482,-521.05,Upgrade
Other Investing Activities,-97.06,7.75,-55.24,-101.23,-80.45,-51.28,3.31,-,-,-38.35,Upgrade
Investing Cash Flow,"-6,684.44","-3,612.96","-3,567.59","-2,616.27","-2,969.08","-2,115.53","-1,279.08",-742.6,-487.88,-564.69,Upgrade
Dividends Paid,-68.19,-55.5,-49.39,-49.83,-45.45,-35.91,-24.73,-18.31,-11.4,-2.81,Upgrade
Share Issuance / Repurchase,-10.18,-6.92,-55.86,-65.11,-25.77,192.19,0,0,0,2.89,Upgrade
Debt Issued / Paid,-412.48,-425.87,"-1,053.57",772.24,112.24,900.56,175.69,18.27,125.94,-36.85,Upgrade
Other Financing Activities,"3,646.2","3,583.89","7,734.4","1,332.49","2,399.41","1,488.77",838.5,791.07,257.25,518.67,Upgrade
Financing Cash Flow,"3,155.36","3,095.6","6,575.58","1,989.79","2,440.42","2,545.62",989.46,791.04,371.79,481.91,Upgrade
Net Cash Flow,"-2,924.16",140.09,"3,434.74",-194.99,-57.9,595.95,-137.31,133.04,-21.03,43.65,Upgrade
Free Cash Flow,541.28,634.55,386.99,389.41,449.99,112.39,137.45,74.52,89.18,121.14,Upgrade
Free Cash Flow Growth,-14.70%,63.97%,-0.62%,-13.46%,300.39%,-18.23%,84.45%,-16.44%,-26.38%,11.74%,Upgrade
Free Cash Flow Margin,36.63%,48.36%,41.35%,38.84%,49.84%,16.91%,32.14%,23.73%,36.86%,56.31%,Upgrade
Free Cash Flow Per Share,7.15,8.41,5.13,5.10,5.84,1.76,3.19,2.01,2.57,3.54,Upgrade
