Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,125.42,117.66,64.81,92.07,68.32,40.55,44.81,43.82,26.11,27.4,Upgrade
Depreciation & Amortization,18.38,17.28,17.57,17.23,10.51,8.18,7.85,7.06,6.18,4.83,Upgrade
Share-Based Compensation,3.87,2.64,2.04,1.65,8.89,1.59,1.31,1.44,0.91,0.8,Upgrade
Other Operating Activities,15.23,-5.37,30.38,-8.15,3.35,5.07,-5.75,2.5,-5.78,8.06,Upgrade
Operating Cash Flow,162.9,132.21,114.8,102.81,91.07,55.38,48.23,54.82,27.42,41.09,Upgrade
Operating Cash Flow Growth,23.21%,15.16%,11.67%,12.89%,64.44%,14.84%,-12.02%,99.94%,-33.27%,-21.08%,Upgrade
Capital Expenditures,3.07,-0.45,-2.81,-4.29,-7.37,-11.83,-9.25,-5.48,-4.54,-8.3,Upgrade
Acquisitions,426.88,0,0,0,30.61,0,156.32,0,141.41,0,Upgrade
Change in Investments,"-1,130.97",-779.42,-774.8,-28.85,-172.67,-346.27,-267.97,-598.63,-283.11,-232.13,Upgrade
Other Investing Activities,-22.2,-103.94,-38.73,3.36,7.43,0.65,-18.49,-0.2,-32.48,-62.47,Upgrade
Investing Cash Flow,-723.22,-883.81,-816.33,-29.79,-142,-357.45,-139.39,-604.31,-178.72,-302.9,Upgrade
Dividends Paid,-35.8,-29.72,-26.3,-25,-18.77,-15.13,-13.7,-11.85,-7.81,-6.75,Upgrade
Share Issuance / Repurchase,-25.96,-4.2,-26.52,-2.19,-2.27,-1.23,-1.37,0.25,0.32,-0.25,Upgrade
Debt Issued / Paid,214.52,23.17,8.46,2.62,-271.33,104.67,5.17,3.05,2.94,-2.86,Upgrade
Other Financing Activities,-253.63,861.23,"1,138.94",0.53,365.4,113.57,103.22,250.78,168.21,121.14,Upgrade
Financing Cash Flow,-100.86,850.47,"1,094.58",-24.04,73.04,201.88,93.32,242.23,163.67,111.28,Upgrade
Net Cash Flow,-661.19,98.87,393.04,48.97,22.11,-100.18,2.15,-307.27,12.36,-150.53,Upgrade
Free Cash Flow,165.96,131.75,111.99,98.51,83.7,43.56,38.98,49.34,22.87,32.79,Upgrade
Free Cash Flow Growth,25.96%,17.65%,13.68%,17.70%,92.16%,11.74%,-20.99%,115.70%,-30.23%,-20.62%,Upgrade
Free Cash Flow Margin,42.49%,38.53%,41.46%,31.55%,31.97%,19.45%,17.84%,24.24%,14.76%,23.52%,Upgrade
Free Cash Flow Per Share,4.98,4.43,3.76,3.23,2.75,1.90,1.71,2.17,1.01,2.04,Upgrade
