Year,2022,2021,2020,2019
Net Income,-6.86,0,0,-129.54
Depreciation & Amortization,5.99,4.49,5.73,7.35
Share-Based Compensation,26.86,0.1,0.07,0.02
Other Operating Activities,-174.23,104.98,-130.11,114.17
Operating Cash Flow,-148.25,109.57,-124.31,17.19
Capital Expenditures,-17.95,-12.17,-5.06,-4.33
Investing Cash Flow,-17.95,-12.17,-5.06,-4.33
Share Issuance / Repurchase,662.45,0,0,0
Other Financing Activities,-300,-,100,-
Financing Cash Flow,362.45,0,100,0
Net Cash Flow,196.82,98.37,-30.05,12.81
Free Cash Flow,-166.2,97.4,-129.37,12.86
Free Cash Flow Margin,-28.01%,38.66%,-140.48%,12.84%
Free Cash Flow Per Share,-3.07,15.16,-20.13,2.00
