Year,2022,2021,2020,2019
Net Income,490,-44,1,6
Depreciation & Amortization,13,0,0,0
Other Operating Activities,-396,"1,625",398,303
Operating Cash Flow,107,"1,581",399,309
Operating Cash Flow Growth,-93.23%,296.24%,29.13%,-
Capital Expenditures,-24,-1,-1,0
Acquisitions,"-4,086",0,0,0
Change in Investments,-262,"-3,863",-384,-268
Other Investing Activities,31,-,-,-
Investing Cash Flow,"-4,341","-3,864",-385,-268
Dividends Paid,-6,-8,0,0
Share Issuance / Repurchase,450,"1,410",13,5
Debt Issued / Paid,"2,532","1,238",0,-40
Other Financing Activities,"3,018",-,-,-
Financing Cash Flow,"5,994","2,640",13,-35
Net Cash Flow,"1,760",357,27,6
Free Cash Flow,83,"1,580",398,309
Free Cash Flow Growth,-94.75%,296.98%,28.80%,-
Free Cash Flow Margin,1.63%,21.82%,77.43%,80.89%
Free Cash Flow Per Share,2.41,56.76,-,-
