Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,74.73,201.4,58.47,112.56,72.35,109.4,111.68,32.96,45.58,61.92,Upgrade
Other Operating Activities,-39.73,-223.46,242.58,-831.07,-465.84,-275.71,-51.17,-96.3,-335.15,-111.8,Upgrade
Operating Cash Flow,35.01,-22.06,301.06,-718.51,-393.49,-166.31,60.51,-63.35,-289.57,-49.88,Upgrade
Dividends Paid,-121.29,-114.23,-120.07,-113.14,-101.06,-94.21,-85.81,-77.35,-72.78,-50.17,Upgrade
Share Issuance / Repurchase,40.01,12.43,0,278.6,0,81.48,76.12,79.42,141.16,100.04,Upgrade
Debt Issued / Paid,73.66,112.86,-145.4,558.43,516.45,174.61,-31.25,71.45,256.38,0,Upgrade
Other Financing Activities,-13.88,-9.86,-5.2,-6.48,-7.17,-6.55,-3.74,-3.51,-11.73,-,Upgrade
Financing Cash Flow,-21.5,1.2,-270.67,717.42,408.22,155.32,-44.68,70,313.02,49.88,Upgrade
Net Cash Flow,13.5,-20.86,30.39,-1.09,14.73,-10.99,15.83,6.66,23.45,0,Upgrade
Free Cash Flow,35.01,-22.06,301.06,-718.51,-393.49,-166.31,60.51,-63.35,-289.57,-49.88,Upgrade
Free Cash Flow Margin,11.88%,-8.14%,109.99%,-259.85%,-170.00%,-84.08%,36.00%,-41.17%,-213.55%,-54.88%,Upgrade
Free Cash Flow Per Share,0.35,-0.23,3.11,-8.43,-5.18,-2.24,0.93,-1.06,-5.58,-1.42,Upgrade
