Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,55.11,76.24,36.87,47.4,38.07,32.06,30.47,26.88,27.89,24.06,Upgrade
Depreciation & Amortization,13.08,13.54,11.37,10.28,8.93,9.48,9.15,8.58,7.82,8.71,Upgrade
Share-Based Compensation,2.55,1.74,1.33,1.41,1.3,1.17,0.85,0.67,0.47,0.41,Upgrade
Other Operating Activities,61.37,-20.02,-7.58,-2.84,15.38,2.1,4.77,5.5,-2.42,2.55,Upgrade
Operating Cash Flow,133.57,72.96,43.46,57.71,65.14,46.28,46.69,43.09,35.23,37.2,Upgrade
Operating Cash Flow Growth,83.07%,67.90%,-24.70%,-11.40%,40.75%,-0.89%,8.37%,22.31%,-5.29%,-3.88%,Upgrade
Capital Expenditures,-8.37,-9.4,-4.26,-3.64,-2.84,-7.74,-7.62,-7.49,-5.33,-3.41,Upgrade
Acquisitions,0,-1.42,0,0,-4.45,-0.68,-0.87,0,-8,0,Upgrade
Change in Investments,-306.75,-606.05,-497.28,-21.39,-218.68,-364.38,-321.44,-298.67,-131.66,-239.26,Upgrade
Other Investing Activities,-10.04,-16.55,-29.53,0.29,0.56,0.18,3.25,0.29,-8.5,0.48,Upgrade
Investing Cash Flow,-325.16,-633.42,-531.07,-24.73,-225.41,-372.61,-326.68,-305.87,-153.49,-242.19,Upgrade
Dividends Paid,-17.59,-16.99,-16.5,-15.8,-14.95,-12.5,-11.48,-11.26,-10.52,-9.75,Upgrade
Share Issuance / Repurchase,-15.34,-9.24,-0.21,-0.29,0.21,38.57,0.96,0.16,0.47,0.22,Upgrade
Debt Issued / Paid,175,24.7,-235.98,-194,23.3,114.7,38.4,-2.76,-2.24,157.24,Upgrade
Other Financing Activities,100.88,547.22,721.23,187.31,155.27,213.48,263.26,278.62,129.01,56.55,Upgrade
Financing Cash Flow,242.94,545.69,468.55,-22.79,163.83,354.25,291.14,264.76,116.72,204.25,Upgrade
Net Cash Flow,51.35,-14.77,-19.07,10.19,3.56,27.92,11.16,1.97,-1.54,-0.74,Upgrade
Free Cash Flow,125.2,63.56,39.19,54.07,62.3,38.54,39.08,35.6,29.9,33.79,Upgrade
Free Cash Flow Growth,96.99%,62.18%,-27.52%,-13.20%,61.65%,-1.37%,9.77%,19.05%,-11.51%,2.82%,Upgrade
Free Cash Flow Margin,62.50%,30.27%,25.29%,33.33%,41.42%,28.76%,30.33%,30.10%,26.85%,31.47%,Upgrade
Free Cash Flow Per Share,8.14,4.01,2.45,3.38,3.92,2.56,2.71,2.53,2.15,2.46,Upgrade
