Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,3.45,56.52,18.41,11.42,33.49,36.33,33.49,12.5,20.51,11.98,Upgrade
Other Operating Activities,-53.42,-6.94,-23.35,-132.84,-241.77,-113.04,-198.95,-14.71,-42.76,-136.39,Upgrade
Operating Cash Flow,-49.96,49.57,-4.94,-121.42,-208.28,-76.71,-165.46,-2.21,-22.25,-124.41,Upgrade
Dividends Paid,-46.07,-44.21,-44.2,-44.2,-42.98,-34.3,-30.47,-17.66,-16.02,-9.16,Upgrade
Share Issuance / Repurchase,81.94,1.4,0,0,89.03,80.99,0,0,0,113.44,Upgrade
Debt Issued / Paid,13.8,-13.15,43.29,155.88,218.52,20.88,203.31,-116.8,46.8,24.1,Upgrade
Other Financing Activities,-1.97,-0.36,-,-,-1.01,-0.47,-,144.98,-,-3.24,Upgrade
Financing Cash Flow,47.7,-56.31,-0.91,111.68,263.57,67.1,172.84,10.52,30.78,125.14,Upgrade
Net Cash Flow,-2.27,-6.74,-5.85,-9.74,55.29,-9.62,7.37,8.31,8.54,0.73,Upgrade
Free Cash Flow,-49.96,49.57,-4.94,-121.42,-208.28,-76.71,-165.46,-2.21,-22.25,-124.41,Upgrade
Free Cash Flow Margin,-47.36%,59.95%,-5.17%,-130.63%,-288.46%,-128.94%,-357.36%,-7.27%,-73.29%,-659.36%,Upgrade
Free Cash Flow Per Share,-1.21,1.28,-0.13,-3.13,-5.37,-2.36,-6.19,-0.15,-1.49,-8.46,Upgrade
