Year,2022,2021,2020,2019
Net Income,-194.23,30.77,1.44,-0.87
Depreciation & Amortization,23.45,11.51,6.03,2.22
Share-Based Compensation,4.93,1.94,0.33,0
Other Operating Activities,95.19,-72.03,-5.28,-2.24
Operating Cash Flow,-70.66,-27.82,2.52,-0.89
Capital Expenditures,-77.33,-126.4,-1.1,-15.03
Acquisitions,-1.36,-8.02,0,-1.4
Change in Investments,84.23,-3.15,0,0
Other Investing Activities,-,-,0.05,0.01
Investing Cash Flow,5.54,-137.56,-1.06,-16.42
Share Issuance / Repurchase,0,134.68,1.55,0
Debt Issued / Paid,86.38,40.57,-0.97,0
Other Financing Activities,-18.32,-0.12,-0.16,1.08
Financing Cash Flow,68.06,175.13,0.43,1.08
Net Cash Flow,2.94,9.75,1.89,-16.23
Free Cash Flow,-147.99,-154.22,1.42,-15.91
Free Cash Flow Margin,-312.45%,-207.83%,7.47%,-184.68%
Free Cash Flow Per Share,-0.32,-0.34,0.01,-0.05
