Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Net Income,474,"2,090",-242,-388,762,"-2,992",-327,408,"2,295",598.5,Upgrade
Depreciation & Amortization,0,0,0,0,0,0,0,0,90.6,85.4,Upgrade
Share-Based Compensation,90,88,88,98,96,117,99,76,92.6,80,Upgrade
Other Operating Activities,752,"-2,192","1,480","1,572","1,010","4,457","3,920","2,764","1,150.4","2,499.5",Upgrade
Operating Cash Flow,"1,352",22,"1,362","1,310","1,868","1,582","3,692","3,248","3,628.6","3,263.4",Upgrade
Operating Cash Flow Growth,6045.45%,-98.38%,3.97%,-29.87%,18.08%,-57.15%,13.67%,-10.49%,11.19%,-0.57%,Upgrade
Capital Expenditures,0,0,0,0,0,0,0,0,-32.7,-40.7,Upgrade
Acquisitions,0,274,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,"-2,059","-1,670","-1,957",-499,-59,-172,"-1,881","-2,707","-3,682.7","-1,215.6",Upgrade
Other Investing Activities,113,"1,069",-504,-756,-223,"-2,256","-1,802","-1,567",401.5,-629.3,Upgrade
Investing Cash Flow,"-1,946",-327,"-2,461","-1,255",-282,"-2,428","-3,683","-4,274","-3,313.9","-1,885.6",Upgrade
Dividends Paid,-83,-80,-76,-44,-6,-8,-8,-9,-10.1,-5.2,Upgrade
Share Issuance / Repurchase,-743,"-1,109",-512,"-1,133","-1,022",-920,-686,"-1,487",-789.4,571.6,Upgrade
Debt Issued / Paid,330,-226,-272,90,-278,37,-356,856,308.7,-680.4,Upgrade
Other Financing Activities,524,"1,150","2,562",966,-458,542,"1,439","1,648",-133.8,-209.8,Upgrade
Financing Cash Flow,28,-265,"1,702",-121,"-1,764",-349,389,"1,008",-624.6,-323.8,Upgrade
Net Cash Flow,-566,-570,603,-66,-178,"-1,195",398,-18,-309.9,"1,054",Upgrade
Free Cash Flow,"1,352",22,"1,362","1,310","1,868","1,582","3,692","3,248","3,595.9","3,222.7",Upgrade
Free Cash Flow Growth,6045.45%,-98.38%,3.97%,-29.87%,18.08%,-57.15%,13.67%,-9.67%,11.58%,-0.93%,Upgrade
Free Cash Flow Margin,22.83%,0.52%,17.81%,17.52%,26.09%,21.88%,42.01%,37.26%,32.73%,36.80%,Upgrade
Free Cash Flow Per Share,13.91,0.20,10.79,9.72,12.01,8.80,18.97,15.08,14.60,12.36,Upgrade
