Year,2022,2021,2020,2019,2018,2017,2016
Net Income,29.64,23.16,19.27,8.23,25,23.79,16.82
Depreciation & Amortization,1.41,1.03,1.09,0.85,1.1,1.09,0.8
Share-Based Compensation,1.38,0.86,0.77,12.12,0.15,0,0
Other Operating Activities,7.29,4.9,4.11,-2.01,0.75,1,1.74
Operating Cash Flow,39.71,29.96,25.24,19.18,27,25.88,19.36
Operating Cash Flow Growth,32.58%,18.70%,31.57%,-28.97%,4.34%,33.68%,-
Capital Expenditures,3.08,-0.58,-0.41,-2.7,0.96,-3.97,-2.32
Acquisitions,0,20.43,0,0,0,0,0
Change in Investments,-345.85,-63.34,-119.2,-105.89,-38.58,-62.42,-42.86
Other Investing Activities,-,-,-,0.52,0.05,0.6,0.9
Investing Cash Flow,-342.77,-43.49,-119.61,-108.07,-37.57,-65.79,-44.28
Dividends Paid,-4.37,-3.98,-7.8,-1.01,-56.16,-9.75,-7
Share Issuance / Repurchase,-0.15,0,-9.08,-2.65,50.29,0,0
Debt Issued / Paid,0,0,0,0,-5.6,-0.8,-0.8
Other Financing Activities,211.83,68.47,148.03,81.58,50.07,76.28,40.79
Financing Cash Flow,207.32,64.49,131.15,77.93,38.61,65.73,32.99
Net Cash Flow,-95.74,50.95,36.77,-10.96,28.04,25.81,8.07
Free Cash Flow,42.79,29.37,24.82,16.48,27.96,21.91,17.04
Free Cash Flow Growth,45.68%,18.33%,50.60%,-41.05%,27.62%,28.58%,-
Free Cash Flow Margin,63.02%,57.25%,57.10%,37.89%,68.59%,57.17%,56.91%
Free Cash Flow Per Share,4.70,3.24,2.65,1.63,3.45,3.01,2.34
