Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Net Income,13.49,25.93,5.2,23.83,6.2,3.05,28.89,-7.37,20.77,12.86,Upgrade
Depreciation & Amortization,2.83,4.31,12.09,4.95,0.03,0,0,0,0,0,Upgrade
Share-Based Compensation,0.5,1.16,0.73,0.53,0.27,0.3,0.36,0.64,0.84,0.25,Upgrade
Other Operating Activities,-8.62,2.89,1.25,-10.78,13.14,16.11,-19.61,17.94,-16.49,-11.77,Upgrade
Operating Cash Flow,8.2,34.3,19.27,18.54,19.63,19.46,9.64,11.21,5.13,1.34,Upgrade
Operating Cash Flow Growth,-76.08%,77.99%,3.95%,-5.55%,0.86%,101.78%,-13.97%,118.71%,281.32%,-,Upgrade
Capital Expenditures,-0.3,-1.08,-3.94,-0.05,0,0,0,0,-0,-0,Upgrade
Acquisitions,0,0,0,-19.72,0,17.52,7.22,6.94,6.72,5.35,Upgrade
Change in Investments,-43.25,26.84,-30.99,-6.96,-28.11,-29.63,-28.27,0.08,-1.73,-25.42,Upgrade
Other Investing Activities,-,-,-0.24,-,-0.02,-0.01,-0,-25.9,-60.62,-,Upgrade
Investing Cash Flow,-43.55,25.76,-35.17,-26.72,-28.13,-12.12,-21.05,-18.88,-55.63,-20.07,Upgrade
Share Issuance / Repurchase,-1.3,-0.37,-2.01,-0.88,-1.36,0,0,-0.2,110.15,0,Upgrade
Debt Issued / Paid,2.44,-11.75,11.76,0,-0.47,0,0,0,-5,4.66,Upgrade
Other Financing Activities,-2.5,-8.08,-2,-,-,-8.96,-3.7,-3.58,-3.59,-2.86,Upgrade
Financing Cash Flow,-1.36,-20.2,7.75,-0.88,-1.83,-8.96,-3.7,-3.77,101.57,1.8,Upgrade
Net Cash Flow,-36.71,39.86,-8.15,-9.07,-10.33,-1.63,-15.11,-11.44,51.06,-16.92,Upgrade
Free Cash Flow,7.91,33.22,15.33,18.49,19.63,19.46,9.64,11.21,5.12,1.34,Upgrade
Free Cash Flow Growth,-76.20%,116.67%,-17.08%,-5.80%,0.86%,101.78%,-13.97%,118.75%,282.39%,-,Upgrade
Free Cash Flow Margin,19.06%,59.15%,41.76%,60.13%,75.51%,51.91%,43.09%,47.78%,29.45%,20.78%,Upgrade
Free Cash Flow Per Share,0.62,2.60,1.19,1.43,1.50,1.49,0.74,0.86,0.79,0.32,Upgrade
