Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Net Income,253.5,124.91,106.58,164.62,153.21,143.89,60.13,60.71,85.17,83.85,Upgrade
Depreciation & Amortization,457.33,58.73,42.11,41.9,42.96,55.23,31.87,17.94,17.48,15.36,Upgrade
Share-Based Compensation,10.85,5.15,2.91,8.68,5.79,3.07,4.17,0.43,1.98,0.55,Upgrade
Other Operating Activities,-252.37,34.51,70.67,16.39,41.48,18.16,0.69,13.67,-6.94,6.96,Upgrade
Operating Cash Flow,469.31,223.3,222.26,231.6,243.43,220.36,96.85,92.75,97.68,106.72,Upgrade
Operating Cash Flow Growth,110.16%,0.47%,-4.03%,-4.86%,10.47%,127.51%,4.43%,-5.05%,-8.47%,20.19%,Upgrade
Capital Expenditures,-118.49,-121.53,-83.05,-118.97,-55.67,-37.14,-33.86,-21.07,-23.95,-26.67,Upgrade
Acquisitions,-96.79,-543.92,-44.32,-52.49,-113.7,-2.2,23.97,-46.89,-58.94,-113.64,Upgrade
Change in Investments,-35.82,-73.34,105.42,21.65,10.13,40.74,-16.07,-3.72,-2.47,-0.41,Upgrade
Other Investing Activities,-85.35,-5.84,1.59,12.76,-,-,-,-,-,-,Upgrade
Investing Cash Flow,-336.44,-744.64,-20.35,-137.05,-159.25,1.4,-25.97,-71.68,-85.37,-140.73,Upgrade
Dividends Paid,-59.57,-47.53,-44.75,-43.95,-40.85,-36.84,-19.81,0,0,0,Upgrade
Share Issuance / Repurchase,-157.86,-49.23,-105.83,-115.71,-273.26,-91.43,0,-30.08,-38.68,-29.45,Upgrade
Debt Issued / Paid,78.16,675.42,-32.25,38.85,187.05,-69.24,-38.91,35.19,25.44,76.29,Upgrade
Other Financing Activities,-,-1.66,-3.67,-,-,-,-,4.01,4.14,7.81,Upgrade
Financing Cash Flow,-139.27,576.99,-186.5,-120.81,-127.06,-197.51,-58.71,9.13,-9.1,54.64,Upgrade
Net Cash Flow,-2.72,54.2,19.32,-25.27,-42.63,24.47,3,18.96,-2.65,20.36,Upgrade
Free Cash Flow,350.82,101.78,139.22,112.62,187.76,183.22,62.99,71.68,73.73,80.05,Upgrade
Free Cash Flow Growth,244.70%,-26.90%,23.61%,-40.02%,2.47%,190.87%,-12.12%,-2.78%,-7.90%,19.56%,Upgrade
Free Cash Flow Margin,12.86%,5.99%,8.53%,6.04%,10.54%,10.29%,5.79%,10.17%,10.34%,12.11%,Upgrade
Free Cash Flow Per Share,7.57,2.52,3.36,2.64,4.28,3.88,1.30,2.58,2.60,2.77,Upgrade
