Year,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,437.75,312.77,183.79,159.11,172.28,108.34,69.74,79.88,61.32
Depreciation & Amortization,80.05,37.98,41.95,14.48,7.91,8.85,7.5,5.51,6.04
Share-Based Compensation,91.88,62.42,64.35,56.56,47.11,39.36,35.06,23.2,22.48
Other Operating Activities,126.93,166.66,-2.41,-5.87,23.35,95.47,-100.58,87.92,75.17
Operating Cash Flow,736.6,579.84,287.67,224.27,250.65,252.02,11.72,196.51,165.01
Operating Cash Flow Growth,27.04%,101.56%,28.27%,-10.52%,-0.54%,2050.16%,-94.04%,19.09%,-
Capital Expenditures,-8.68,-14.15,-20.72,-6.73,-7.72,-14.42,-9.39,-4.67,-2.24
Acquisitions,-361,-12.47,-2.2,-71.41,-2.7,-3.73,-36.85,-198.38,-114.74
Change in Investments,95.76,-73.13,-10.06,84.49,-209.32,0,0,0,0
Other Investing Activities,-,-,-0.17,0.1,1.16,16.5,225.79,-9.45,-5
Investing Cash Flow,-273.91,-99.75,-33.14,6.46,-218.58,-1.65,179.55,-212.5,-121.98
Dividends Paid,-114.81,-92.01,-80.66,-66.93,-52.08,-55.29,-114.3,-2.17,-1.08
Share Issuance / Repurchase,-304.79,86.84,-29.64,-69.56,75.43,193.57,0,0,0
Debt Issued / Paid,-0.28,-4.18,-10.74,-2.46,-19.11,-41.26,-3.05,0,0
Other Financing Activities,-39.18,-17.48,-31.11,-97.18,-229.55,-16.85,3.13,-0.33,-2.19
Financing Cash Flow,-459.06,-26.82,-152.14,-236.14,-225.31,80.17,-114.21,-2.5,-3.26
Net Cash Flow,-13.15,466.48,94.63,-14.11,-192.46,326.52,77.51,-20.76,41.03
Free Cash Flow,727.92,565.69,266.95,217.55,242.93,237.6,2.34,191.84,162.77
Free Cash Flow Growth,28.68%,111.91%,22.71%,-10.45%,2.24%,10071.10%,-98.78%,17.86%,-
Free Cash Flow Margin,32.07%,37.08%,23.03%,20.06%,25.22%,27.24%,0.34%,28.18%,27.47%
Free Cash Flow Per Share,11.20,8.60,4.29,3.50,3.89,3.89,0.04,3.36,2.96
