No;Symbol;Company Name;Market Cap;% Change;Volume;Revenue;Industry Name
1;SYM;Symbotic Inc.;13.93B;-5.47%;337,959;893.13M;Shell Companies
2;CVII;Churchill Capital Corp VII;1.76B;-;6,56;-;Shell Companies
3;SCRM;Screaming Eagle Acquisition Corp.;954.38M;-0.20%;3,103;-;Shell Companies
4;APGB;Apollo Strategic Growth Capital II;879.75M;0.10%;6,324;-;Shell Companies
5;EOCW;Elliott Opportunity II Corp.;784.00M;-;3,222;-;Shell Companies
6;AAC;Ares Acquisition Corporation;750.21M;-0.10%;14,263;-;Shell Companies
7;PNTM;Pontem Corporation;721.05M;0.29%;103;-;Shell Companies
8;GRNT;Granite Ridge Resources, Inc;705.76M;-4.85%;34,923;497.42M;Shell Companies
9;CCVI;Churchill Capital Corp VI;701.73M;-0.05%;2,012;-;Shell Companies
10;ALCC;AltC Acquisition Corp.;667.64M;-;386,664;-;Shell Companies
11;GHIX;Gores Holdings IX, Inc.;666.09M;0.10%;213;-;Shell Companies
12;ZING;FTAC Zeus Acquisition Corp.;578.88M;0.10%;6,78;-;Shell Companies
13;AACT;Ares Acquisition Corporation II;570.38M;-;12,6;-;Shell Companies
14;BFAC;Battery Future Acquisition Corp.;543.37M;-0.19%;206;-;Shell Companies
15;CFIV;CF Acquisition Corp. IV;532.44M;-;105;-;Shell Companies
16;DWAC;Digital World Acquisition Corp.;518.35M;2.58%;296,999;-;Shell Companies
17;NSTC;Northern Star Investment Corp. III;505.00M;-0.30%;252;-;Shell Companies
18;CCV;Churchill Capital Corp V;504.00M;-0.10%;311;-;Shell Companies
19;RMGC;RMG Acquisition Corp. III;487.35M;-0.05%;718;-;Shell Companies
20;HCVI;Hennessy Capital Investment Corp. VI;461.85M;-;803;-;Shell Companies
21;ICNC;Iconic Sports Acquisition Corp.;454.97M;-;11,048;-;Shell Companies
22;IVCB;Investcorp Europe Acquisition Corp I;454.97M;0.09%;13,555;-;Shell Companies
23;CPAA;Conyers Park III Acquisition Corp.;452.50M;-;30,838;-;Shell Companies
24;PSPC;Post Holdings Partnering Corporation;450.55M;-;575,83;-;Shell Companies
25;CNDB;Concord Acquisition Corp III;447.64M;-0.19%;6,786;-;Shell Companies
26;MTVC;Motive Capital Corp II;447.41M;0.05%;62,804;-;Shell Companies
27;RONI;Rice Acquisition Corp. II;445.08M;0.10%;5,763;-;Shell Companies
28;TRTL;TortoiseEcofin Acquisition Corp. III;443.11M;-0.15%;4,878;-;Shell Companies
29;NFYS;Enphys Acquisition Corp.;442.03M;-0.29%;38,454;-;Shell Companies
30;ZT;Zimmer Energy Transition Acquisition Corp.;440.09M;0.05%;1,028,734;-;Shell Companies
31;ACRO;Acropolis Infrastructure Acquisition Corp.;436.86M;-0.39%;4,157;-;Shell Companies
32;LITT;Logistics Innovation Technologies Corp.;435.07M;-0.10%;4,571;-;Shell Companies
33;SUAC;ShoulderUp Technology Acquisition Corp.;432.32M;0.02%;100;-;Shell Companies
34;SLAM;Slam Corp.;414.58M;-;204;-;Shell Companies
35;KVSA;Khosla Ventures Acquisition Co.;413.81M;0.05%;2,685,885;-;Shell Companies
36;HCMA;HCM Acquisition Corp;411.02M;-;51,304;-;Shell Companies
37;GSRM;GSR II Meteora Acquisition Corp.;409.94M;-0.14%;790,081;-;Shell Companies
38;ENTF;Enterprise 4.0 Technology Acquisition Corp.;404.15M;0.09%;3,975;-;Shell Companies
39;HCNE;JAWS Hurricane Acquisition Corporation;403.81M;0.05%;4,465;-;Shell Companies
40;RRAC;Rigel Resource Acquisition Corp.;397.87M;0.09%;300;-;Shell Companies
41;PPYA;Papaya Growth Opportunity Corp. I;393.76M;-;3,481;-;Shell Companies
42;AHRN;Ahren Acquisition Corp.;393.37M;-0.05%;352;-;Shell Companies
43;MBSC;M3-Brigade Acquisition III Corp.;389.63M;0.02%;17,119;-;Shell Companies
44;JUN;Juniper II Corp.;387.02M;-;99,712;-;Shell Companies
45;GOGN;GoGreen Investments Corporation;384.15M;-;1,632;-;Shell Companies
46;CXAC;C5 Acquisition Corporation;379.50M;-;500;-;Shell Companies
47;PWUP;PowerUp Acquisition Corp.;378.43M;-;437,516;-;Shell Companies
48;APTM;Alpha Partners Technology Merger Corp.;371.54M;-;2,361;-;Shell Companies
49;XPDB;Power & Digital Infrastructure Acquisition II Corp.;371.09M;0.06%;518;-;Shell Companies
50;LGVC;LAMF Global Ventures Corp. I;367.21M;-1.31%;16,527;-;Shell Companies
51;GAMC;Golden Arrow Merger Corp.;366.92M;0.20%;1,104;-;Shell Companies
52;NETC;Nabors Energy Transition Corp.;366.39M;-;7,094;-;Shell Companies
53;FWAC;Fifth Wall Acquisition Corp. III;363.05M;0.10%;503,194;-;Shell Companies
54;ATEK;Athena Technology Acquisition Corp. II;363.01M;0.10%;539;-;Shell Companies
55;NFNT;Infinite Acquisition Corp.;362.08M;0.10%;100;-;Shell Companies
56;KCGI;Kensington Capital Acquisition Corp. V;361.04M;0.05%;84,22;-;Shell Companies
57;EVE;EVe Mobility Acquisition Corp;360.94M;-;618,578;-;Shell Companies
58;PACI;PROOF Acquisition Corp I;360.53M;0.05%;738,594;-;Shell Companies
59;BMAC;Black Mountain Acquisition Corp.;360.52M;-;907;-;Shell Companies
60;CNDA;Concord Acquisition Corp II;358.17M;0.39%;10,201;-;Shell Companies
61;JUGG;Jaws Juggernaut Acquisition Corporation;355.01M;-0.10%;75,217;-;Shell Companies
62;BLEU;bleuacacia ltd;354.14M;-0.10%;1,057;-;Shell Companies
63;EMLD;FTAC Emerald Acquisition Corp.;353.91M;-;1,335;-;Shell Companies
64;BACA;Berenson Acquisition Corp. I;348.00M;-0.10%;20,201;-;Shell Companies
65;SPCM;Sound Point Acquisition Corp I, Ltd;343.49M;0.09%;6,704;-;Shell Companies
66;IVCA;Investcorp India Acquisition Corp;340.91M;-0.47%;21,072;-;Shell Companies
67;MTAL;Metals Acquisition Corp;340.38M;0.10%;110,598;-;Shell Companies
68;PEGR;Project Energy Reimagined Acquisition Corp.;338.62M;0.20%;419;-;Shell Companies
69;GFGD;The Growth for Good Acquisition Corporation;333.98M;-;5;-;Shell Companies
70;PFTA;Portage Fintech Acquisition Corporation;333.28M;-;9,276;-;Shell Companies
71;NPAB;New Providence Acquisition Corp. II;330.94M;-0.56%;24,619;-;Shell Companies
72;GGAA;Genesis Growth Tech Acquisition Corp.;328.96M;-;24,15;-;Shell Companies
73;DNAB;Social Capital Suvretta Holdings Corp. II;327.83M;-;26;-;Shell Companies
74;DNAD;Social Capital Suvretta Holdings Corp. IV;327.83M;-;8;-;Shell Companies
75;GAQ;Generation Asia I Acquisition Limited;327.66M;7.01%;443;-;Shell Companies
76;CLIN;Clean Earth Acquisitions Corp.;325.98M;-;810,016;-;Shell Companies
77;JGGC;Jaguar Global Growth Corporation I;321.69M;-;264;-;Shell Companies
78;SLVR;SILVERspac Inc.;321.56M;-;3;-;Shell Companies
79;AFTR;AfterNext HealthTech Acquisition Corp.;321.25M;-0.10%;427;-;Shell Companies
80;SVII;Spring Valley Acquisition Corp. II;320.93M;0.05%;41,634;-;Shell Companies
81;CPUH;Compute Health Acquisition Corp.;320.78M;0.19%;16,684;-;Shell Companies
82;HWEL;Healthwell Acquisition Corp. I;318.75M;-;2;-;Shell Companies
83;STET;ST Energy Transition I Ltd.;315.16M;-;470,888;-;Shell Companies
84;GPAC;Global Partner Acquisition Corp II;314.40M;-;101;-;Shell Companies
85;GATE;Marblegate Acquisition Corp.;313.42M;-;56;-;Shell Companies
86;THCP;Thunder Bridge Capital Partners IV Inc.;308.48M;-;25,406;-;Shell Companies
87;BIOS;BioPlus Acquisition Corp.;307.46M;-;1,183;-;Shell Companies
88;CORS;Corsair Partnering Corporation;305.48M;0.02%;101;-;Shell Companies
89;MEKA;MELI Kaszek Pioneer Corp;305.28M;-;1,654;-;Shell Companies
90;CITE;Cartica Acquisition Corp;304.75M;0.09%;102;-;Shell Companies
91;PLAO;Patria Latin American Opportunity Acquisition Corp.;304.47M;-;154,207;-;Shell Companies
92;TLGY;TLGY Acquisition Corporation;304.46M;0.28%;104;-;Shell Companies
93;RENE;Cartesian Growth Corporation II;304.03M;0.19%;518,68;-;Shell Companies
94;BTWN;Bridgetown Holdings Limited;303.25M;-0.01%;20,146;-;Shell Companies
95;WNNR;Andretti Acquisition Corp.;303.02M;-;1,592;-;Shell Companies
96;CMCA;Capitalworks Emerging Markets Acquisition Corp;302.45M;-0.09%;2,894;-;Shell Companies
97;RCFA;RCF Acquisition Corp.;302.16M;-;23,095;-;Shell Companies
98;SCUA;Sculptor Acquisition Corp I;301.88M;-;100;-;Shell Companies
99;UTAA;UTA Acquisition Corporation;301.30M;0.10%;9,402;-;Shell Companies
100;CBRG;Chain Bridge I;301.30M;0.58%;732,838;-;Shell Companies
101;FIAC;Focus Impact Acquisition Corp.;301.01M;-;1,242;-;Shell Companies
102;DPCS;DP Cap Acquisition Corp I;301.01M;0.48%;150;-;Shell Companies
103;BPAC;Bullpen Parlay Acquisition Company;300.44M;-;5;-;Shell Companies
104;KNSW;KnightSwan Acquisition Corporation;300.15M;-;3;-;Shell Companies
105;PORT;Southport Acquisition Corporation;299.86M;-;5;-;Shell Companies
106;BRD;Beard Energy Transition Acquisition Corp.;299.60M;0.10%;137,639;-;Shell Companies
107;VMGA;VMG Consumer Acquisition Corp.;299.29M;-;1;-;Shell Companies
108;LCAA;L Catterton Asia Acquisition Corp;298.73M;0.19%;5,158;-;Shell Companies
109;LCW;Learn CW Investment Corporation;298.71M;0.39%;6,123;-;Shell Companies
110;TRIS;Tristar Acquisition I Corp.;297.85M;-0.10%;500;-;Shell Companies
111;WRAC;Williams Rowland Acquisition Corp.;297.28M;-;9,188;-;Shell Companies
112;AEAE;AltEnergy Acquisition Corp.;296.99M;-;301;-;Shell Companies
113;XFIN;ExcelFin Acquisition Corp.;296.56M;0.15%;180,443;-;Shell Companies
114;PGSS;Pegasus Digital Mobility Acquisition Corp.;296.44M;-;36;-;Shell Companies
115;WWAC;Worldwide Webb Acquisition Corp.;296.12M;-;4,908;-;Shell Companies
116;HWKZ;Hawks Acquisition Corp;294.11M;0.10%;6,149;-;Shell Companies
117;VMCA;Valuence Merger Corp. I;292.04M;-;161,604;-;Shell Companies
118;IVCP;Swiftmerge Acquisition Corp.;291.94M;-;5;-;Shell Companies
119;JWSM;Jaws Mustang Acquisition Corporation;289.58M;1.97%;119,899;-;Shell Companies
120;RJAC;Jackson Acquisition Company;287.86M;-;50,232;-;Shell Companies
121;EGGF;EG Acquisition Corp.;287.72M;-;4,308;-;Shell Companies
122;HAIA;Healthcare AI Acquisition Corp.;283.82M;-;32,968;-;Shell Companies
123;XPAX;XPAC Acquisition Corp.;283.02M;-;6,986;-;Shell Companies
124;ROC;ROC Energy Acquisition Corp.;282.74M;0.10%;605;-;Shell Companies
125;TGAA;Target Global Acquisition I Corp.;282.19M;0.14%;414;-;Shell Companies
126;CREC;Crescera Capital Acquisition Corp.;281.75M;-;17,437;-;Shell Companies
127;BLUA;BlueRiver Acquisition Corp.;280.03M;-;372;-;Shell Companies
128;CONX;CONX Corp.;278.34M;-;12;-;Shell Companies
129;WAVC;Waverley Capital Acquisition Corp. 1;276.11M;0.10%;25,41;-;Shell Companies
130;SKGR;SK Growth Opportunities Corporation;275.62M;-;1,7;-;Shell Companies
131;AVAC;Avalon Acquisition Inc.;275.14M;0.38%;2,361;-;Shell Companies
132;CDAQ;Compass Digital Acquisition Corp.;272.41M;-;3,75;-;Shell Companies
133;SHAP;Spree Acquisition Corp. 1 Limited;272.17M;-;11;-;Shell Companies
134;TWOA;two;271.31M;-0.10%;2,032;-;Shell Companies
135;PHYT;Pyrophyte Acquisition Corp.;266.15M;0.09%;1,5;-;Shell Companies
