Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+68 Quarters
Market Capitalization,"4,692","4,415","4,026","3,450","3,299","3,411","3,025","3,540","3,136","2,695","2,902","2,371","2,796","3,013","3,441","3,938","4,314","3,768","3,171","3,635","4,081","3,783","3,183","3,014","2,816","2,373","2,280","1,330","1,450","1,301","1,041","1,122","1,285","1,317","1,576","1,594","1,667","1,461","1,787","1,673","1,436",Upgrade
Market Cap Growth,-,29.45%,33.08%,-2.53%,5.20%,26.56%,4.21%,49.30%,12.15%,-10.55%,-15.66%,-39.80%,-35.17%,-20.05%,8.51%,8.35%,5.71%,-0.38%,-0.36%,20.62%,44.91%,59.37%,39.60%,126.63%,94.24%,82.45%,119.05%,18.56%,12.78%,-1.25%,-33.95%,-29.63%,-22.91%,-9.82%,-11.84%,-4.75%,16.11%,-14.47%,25.77%,27.11%,24.96%,Upgrade
Enterprise Value,"5,745","5,476","5,085","4,495","4,276","4,356","3,962","4,167","3,715","3,186","3,428","2,827","3,258","3,540","3,936","4,391","4,773","4,187","3,312","3,773","4,149","3,711","3,102","2,959","2,739","2,297","2,267","1,347","1,514","1,355","1,089","1,184","1,334","1,336","1,610","1,630","1,658","1,451","1,790","1,682","1,453",Upgrade
PE Ratio,17.73,16.18,15.88,17.01,18.65,28.61,24.22,27.60,28.53,25.10,27.23,18.52,18.93,19.45,20.90,24.84,27.46,24.43,20.70,21.03,24.32,24.74,22.12,26.70,33.86,29.82,37.92,31.04,26.15,22.78,17.14,16.43,16.78,16.62,18.50,19.20,19.25,16.93,21.32,19.30,17.42,Upgrade
PS Ratio,1.65,1.56,1.48,1.39,1.49,1.75,1.78,2.23,2.02,1.71,1.78,1.37,1.53,1.62,1.85,2.13,2.36,2.10,1.78,2.04,2.29,2.12,1.79,1.71,1.77,1.76,2.10,1.63,2.00,1.83,1.48,1.57,1.78,1.83,2.21,2.29,2.40,2.18,2.71,2.57,2.29,Upgrade
PB Ratio,2.50,2.36,2.14,1.91,1.82,1.93,1.67,2.74,2.43,2.09,2.26,1.91,2.27,2.50,2.55,2.95,3.25,2.84,2.41,2.77,3.12,2.66,2.16,2.05,1.89,1.60,1.57,0.93,3.34,2.96,2.41,2.71,2.96,3.05,3.63,3.71,3.77,3.34,4.31,4.32,3.93,Upgrade
Debt / Equity Ratio,0.88,0.88,0.89,0.92,0.88,0.87,0.88,0.79,0.73,0.63,0.70,0.65,0.62,0.76,0.68,0.67,0.68,0.62,0.45,0.46,0.39,0.27,0.27,0.30,0.26,0.22,0.31,0.39,0.57,0.54,0.59,0.64,0.58,0.49,0.51,0.51,0.45,0.46,0.46,0.42,0.45,Upgrade
Current Ratio,3.50,3.50,3.83,3.46,3.09,2.68,2.88,3.17,2.69,2.63,3.03,2.85,2.61,3.26,3.65,3.80,3.91,3.42,5.94,5.80,6.48,5.62,6.99,6.57,6.85,6.70,6.21,5.85,5.70,5.30,7.05,6.90,7.67,7.02,7.07,6.14,7.35,7.56,5.95,5.40,7.00,Upgrade
Dividend Yield,1.28%,-,0.38%,0.45%,0.43%,0.43%,0.40%,0.34%,0.39%,0.41%,0.39%,0.47%,0.40%,0.38%,0.33%,0.27%,0.25%,0.29%,0.35%,0.27%,0.24%,0.27%,0.30%,0.30%,0.33%,0.39%,0.40%,0.27%,0.24%,0.27%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,16.50%,0.00%,19.20%,26.20%,16.50%,51.70%,42.30%,36.10%,42.90%,32.90%,34.20%,75.00%,43.50%,34.20%,21.30%,30.90%,32.50%,25.50%,22.90%,28.90%,32.80%,24.40%,14.00%,32.20%,59.40%,28.40%,20.00%,-312.50%,30.50%,26.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,4.53%,4.53%,-14.55%,-16.28%,-15.69%,-18.15%,2.43%,2.39%,1.00%,2.28%,2.90%,3.54%,3.91%,3.60%,2.63%,3.08%,5.04%,6.42%,7.11%,7.11%,5.98%,3.59%,2.72%,-68.96%,-71.02%,-70.98%,-74.45%,-0.88%,-0.17%,0.26%,1.77%,1.66%,2.62%,2.18%,2.07%,1.50%,0.79%,1.11%,-0.92%,-1.03%,-2.01%,Upgrade
Total Shareholder Return,5.81%,4.53%,-14.17%,-15.83%,-15.26%,-17.73%,2.83%,2.73%,1.39%,2.69%,3.29%,4.02%,4.31%,3.98%,2.96%,3.35%,5.29%,6.71%,7.45%,7.38%,6.22%,3.86%,3.02%,-68.66%,-70.70%,-70.59%,-74.04%,-0.61%,0.07%,0.53%,1.77%,1.66%,2.62%,2.18%,2.07%,1.50%,0.79%,1.11%,-0.92%,-1.03%,-2.01%,Upgrade
