Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,25,34,34,36,23,22,31,56,55,64,110,247,415,621,832,691,810,"1,095",916,"1,069"
Market Cap Growth,-,54.61%,10.47%,-36.69%,-58.75%,-66.04%,-71.73%,-77.28%,-86.77%,-89.66%,-86.79%,-64.19%,-48.76%,-43.29%,-9.19%,-35.34%,-,-,-,-
Enterprise Value,-32,-22,-23,-23,-50,-63,31,-46,55,-59,-20,121,282,468,653,494,624,890,684,835
PE Ratio,-1.89,-1.89,-1.63,-1.24,-0.72,-0.70,-,-1.33,-,-1.38,-1.71,-3.83,-7.38,-26.27,-60.97,-29.01,-17.88,-26.58,-25.45,-34.98
PS Ratio,0.17,0.24,0.25,0.26,0.17,0.17,-,0.58,-,0.72,0.97,1.21,1.55,2.12,2.49,2.49,2.99,3.85,3.52,4.89
PB Ratio,0.40,0.55,0.54,0.54,0.32,0.28,-,0.60,-,0.60,0.82,1.63,2.39,2.89,3.60,3.01,3.43,4.53,3.96,4.60
Debt / Equity Ratio,0.59,0.59,0.54,0.54,0.40,0.36,-,0.27,-,0.23,0.17,0.06,0.13,0.10,0.10,0.08,0.06,0.06,0.02,-
Current Ratio,1.73,1.73,1.79,1.71,1.73,1.80,-,1.78,-,1.94,2.33,2.49,2.99,3.00,2.77,2.98,4.27,3.74,4.03,5.03
Buyback Yield / Dilution,-0.09%,-0.18%,-0.15%,-0.01%,-0.01%,-0.14%,-0.19%,-0.27%,-0.36%,-1.11%,-0.88%,-1.14%,-0.49%,4.93%,-6.48%,-10.76%,-21.57%,-20.70%,-19.90%,-9.16%
Total Shareholder Return,-0.09%,-0.18%,-0.15%,-0.01%,-0.01%,-0.14%,-0.19%,-0.27%,-0.36%,-1.11%,-0.88%,-1.14%,-0.49%,4.93%,-6.48%,-10.76%,-21.57%,-20.70%,-19.90%,-9.16%
