Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+82 Quarters
Market Capitalization,"114,859","111,016","109,123","101,834","114,567","98,894","113,735","102,398","98,877","84,936","79,092","86,905","79,372","59,743","66,733","60,339","56,082","52,343","42,638","49,141","51,238","48,510","43,197","40,172","37,636","33,783","27,864","33,412","28,381","26,259","26,646","23,571","27,493","28,280","24,158","22,878","22,601","20,677","21,177","18,050","14,579",Upgrade
Market Cap Growth,-,12.26%,-4.05%,-0.55%,15.87%,16.43%,43.80%,17.83%,24.58%,42.17%,18.52%,44.03%,41.53%,14.14%,56.51%,22.79%,9.45%,7.90%,-1.29%,22.33%,36.14%,43.59%,55.03%,20.23%,32.61%,28.65%,4.57%,41.75%,3.23%,-7.14%,10.30%,3.03%,21.65%,36.77%,14.08%,26.74%,55.02%,41.39%,39.49%,18.01%,15.83%,Upgrade
Enterprise Value,"125,879","121,840","119,369","111,823","122,416","106,571","111,825","101,112","98,264","85,054","79,615","88,410","81,216","62,343","68,387","62,600","58,447","55,187","44,324","50,599","52,963","50,324","43,975","41,428","38,818","34,937","29,028","34,976","30,593","28,600","28,770","25,619","27,267","28,268","22,453","21,759","21,783","19,945","20,416","17,272","13,478",Upgrade
PE Ratio,42.39,39.54,33.60,29.18,31.14,28.22,37.61,36.52,40.16,34.58,33.82,35.81,30.66,25.40,31.43,28.83,28.45,27.89,21.78,28.75,31.47,30.55,28.88,22.68,16.74,15.28,13.23,18.40,24.13,22.91,23.05,380.18,-,-463.60,-210.07,25.36,24.38,23.26,15.39,18.27,13.41,Upgrade
PS Ratio,9.63,9.29,9.76,9.86,11.99,11.41,13.71,12.68,12.62,11.07,10.63,11.89,11.10,8.64,9.96,9.28,8.82,8.36,6.81,7.79,8.16,7.85,7.13,6.84,6.49,5.85,4.92,5.93,5.14,4.88,5.01,4.51,5.32,5.52,4.78,4.61,4.65,4.30,4.50,3.90,3.17,Upgrade
PB Ratio,3.17,3.06,3.00,2.74,2.91,2.49,55.97,55.50,78.16,82.30,155.39,196.62,377.96,-238.97,139.32,174.39,109.54,160.07,67.90,54.30,87.89,6930.02,60.93,47.88,36.93,42.82,42.87,72.32,75.48,118.29,137.35,35.82,36.03,52.47,49.50,14.85,15.67,15.17,16.28,18.48,11.92,Upgrade
Debt / Equity Ratio,0.34,0.34,0.32,0.31,0.29,0.30,2.27,2.50,3.64,4.49,9.14,10.57,21.56,-18.21,9.54,12.37,8.37,13.09,5.83,4.05,6.28,510.00,5.03,4.25,3.50,4.52,5.48,8.58,10.05,17.75,18.61,5.30,1.96,2.16,1.63,0.52,0.55,0.59,0.61,0.82,0.65,Upgrade
Current Ratio,0.91,0.91,0.95,0.83,1.26,1.38,2.31,2.26,2.09,1.85,1.67,1.72,1.47,1.24,1.52,1.10,1.37,1.20,1.36,1.44,1.27,1.05,1.35,1.52,1.58,1.48,1.41,1.21,1.22,1.16,1.13,1.13,1.43,1.04,1.01,1.34,1.33,1.27,1.24,1.20,1.30,Upgrade
Dividend Yield,0.96%,0.26%,0.25%,0.28%,0.25%,0.22%,0.16%,0.18%,0.19%,0.22%,0.20%,0.19%,0.20%,0.27%,0.21%,0.23%,0.25%,0.27%,0.30%,0.26%,0.25%,0.26%,0.24%,0.26%,0.28%,0.32%,0.34%,0.29%,0.34%,-,0.34%,0.38%,0.33%,0.32%,0.32%,0.36%,0.37%,0.40%,0.37%,0.43%,0.53%,Upgrade
Payout Ratio,40.70%,36.40%,65.40%,46.20%,29.60%,17.10%,27.50%,23.30%,23.30%,24.50%,35.40%,35.40%,20.40%,25.40%,25.70%,22.60%,25.30%,34.30%,24.40%,25.40%,27.30%,25.80%,39.40%,25.30%,25.20%,26.60%,17.30%,10.60%,24.80%,0.00%,35.50%,35.50%,25.60%,29.70%,-9.60%,42.90%,27.80%,33.00%,43.10%,35.40%,30.10%,Upgrade
Buyback Yield / Dilution,-16.58%,-16.58%,-35.03%,-36.91%,-40.32%,-14.36%,-0.25%,-0.04%,0.04%,0.70%,1.59%,1.99%,2.22%,2.01%,2.50%,2.76%,2.33%,2.40%,2.10%,1.71%,2.54%,2.45%,1.72%,2.79%,2.55%,2.40%,3.89%,3.32%,3.26%,3.29%,-5.75%,0.36%,0.14%,0.32%,7.41%,1.22%,0.79%,2.50%,2.32%,2.04%,2.45%,Upgrade
Total Shareholder Return,-15.61%,-16.32%,-34.77%,-36.63%,-40.07%,-14.15%,-0.08%,0.14%,0.23%,0.92%,1.79%,2.17%,2.43%,2.29%,2.71%,2.99%,2.58%,2.67%,2.40%,1.96%,2.79%,2.72%,1.96%,3.05%,2.83%,2.71%,4.23%,3.60%,3.60%,3.29%,-5.41%,0.75%,0.48%,0.65%,7.73%,1.58%,1.16%,2.90%,2.69%,2.47%,2.99%,Upgrade
