Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,159,177,204,169,172,186,187,181,170,157,127,101,109,139,190,174,188,-,-,-,-,-,-
Market Cap Growth,-,-4.99%,9.44%,-6.62%,1.03%,18.72%,46.71%,79.00%,56.19%,12.32%,-33.00%,-41.73%,-42.01%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,107,129,246,137,141,196,123,88,35,1,35,-12,58,91,180,126,158,-15,-3,-,-,-,31
PE Ratio,5.65,6.48,8.34,7.78,9.15,9.30,9.33,7.94,7.17,9.48,8.44,8.75,10.79,9.84,13.62,12.36,14.81,-,-,-,-,-,-
PS Ratio,1.97,2.25,2.82,2.52,2.77,3.01,3.07,2.85,2.69,2.95,2.56,2.36,2.72,3.16,4.45,4.18,4.90,-,-,-,-,-,-
PB Ratio,0.76,0.86,1.03,0.89,0.91,0.99,0.99,0.98,0.95,0.91,0.76,0.58,0.78,0.99,1.39,1.30,1.46,-,-,-,-,-,-
Debt / Equity Ratio,0.87,0.87,0.87,0.38,0.38,0.59,0.16,0.22,0.23,0.09,0.09,0.09,0.18,0.18,0.40,0.19,0.27,0.36,0.45,-,-,-,1.00
Dividend Yield,1.66%,0.43%,0.36%,0.22%,0.22%,0.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,8.20%,9.90%,10.50%,5.20%,7.00%,7.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,1.67%,1.67%,2.10%,1.79%,-0.19%,-1.38%,-0.89%,8.67%,8.69%,9.32%,8.86%,-0.21%,-0.12%,-1.72%,-24.16%,-,-,-,-39.22%,-,-,-,-
Total Shareholder Return,3.37%,2.09%,2.47%,2.01%,0.03%,-1.18%,-0.89%,8.67%,8.69%,9.32%,8.86%,-0.21%,-0.12%,-1.72%,-24.16%,-,-,-,-39.22%,-,-,-,-
