Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Market Capitalization,318,234,224,279,299,246,370,612,579,350,315,431,457,"1,396","2,042","2,223","1,500","1,398","1,698","2,887","3,812","4,136",-,-,-,-,-,-
Market Cap Growth,-,-4.93%,-39.64%,-54.38%,-48.24%,-29.80%,17.74%,41.85%,26.67%,-74.92%,-84.60%,-80.60%,-69.55%,-0.11%,20.32%,-22.99%,-60.65%,-66.21%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,-950,"-1,029",-892,-953,"-1,138","-1,245","-1,101",-974,-940,"-1,149","-1,043",-772,-869,81,"2,042",948,192,313,456,"1,540","2,389","2,676",-762,-,-,-258,-,-103
PE Ratio,-4.50,-4.50,-1.75,-5.15,-59.72,2.67,1.80,1.97,1.98,2.39,5.19,3.55,1.75,2.99,3.72,4.33,3.22,3.88,5.14,8.54,11.96,12.64,-,-,-,-,-,-
PS Ratio,3.78,2.82,2.02,1.81,1.43,0.95,1.20,1.60,1.17,0.62,0.44,0.46,0.42,1.11,1.67,1.91,1.25,1.26,1.58,2.76,4.26,5.73,-,-,-,-,-,-
PB Ratio,0.18,0.14,0.14,0.15,0.16,0.13,0.19,0.31,0.31,0.19,0.19,0.29,0.31,0.82,-,1.25,0.85,0.89,1.10,1.88,2.45,2.87,-,-,-,-,-,-
Debt / Equity Ratio,0.01,0.01,0.02,0.06,0.05,0.08,0.11,0.11,0.09,0.09,0.09,0.13,0.18,0.29,-,0.32,0.41,0.39,0.47,0.59,0.66,0.89,-5.17,-,-,-1.24,-,-0.25
Current Ratio,18.91,18.91,9.42,12.00,21.81,24.76,24.49,24.60,23.71,24.74,11.97,6.42,4.46,4.37,-,3.03,2.91,2.89,2.73,2.16,2.22,2.06,1.39,-,-,1.53,-,0.76
Buyback Yield / Dilution,7.61%,7.61%,7.97%,5.04%,2.82%,2.93%,0.85%,1.92%,-5.03%,8.69%,16.04%,4.74%,14.73%,6.68%,0.11%,13.43%,10.17%,-5.48%,-8.27%,-10.50%,-9.25%,-59.37%,1.93%,6.05%,-,-,-,-
Total Shareholder Return,7.61%,7.61%,7.97%,5.04%,2.82%,2.93%,0.85%,1.92%,-5.03%,8.69%,16.04%,4.74%,14.73%,6.68%,0.11%,13.43%,10.17%,-5.48%,-8.27%,-10.50%,-9.25%,-59.37%,1.93%,6.05%,-,-,-,-
