Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31
Market Capitalization,"3,000","1,781","2,210","2,313","2,276","2,118",-,-,-,-,-
Market Cap Growth,-,-15.90%,-,-,-,-,-,-,-,-,-
Enterprise Value,"4,586","3,368","3,525","3,594","3,132","2,898",374,479,415,382,393
PE Ratio,97.86,58.40,-102.03,-80.45,-85.78,14.78,-,-,-,-,-
PS Ratio,9.40,5.58,9.55,10.64,13.80,6.46,-,-,-,-,-
PB Ratio,1.72,1.02,1.43,1.36,1.42,1.20,-,-,-,-,-
Debt / Equity Ratio,0.97,0.97,1.08,0.86,0.66,0.63,0.38,0.44,0.41,0.48,0.66
Dividend Yield,0.91%,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-0.99%,0.07%,0.05%,-0.18%,-,-,-,-,-,-,-
Total Shareholder Return,-0.07%,0.07%,0.05%,-0.18%,-,-,-,-,-,-,-
