Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Market Capitalization,"2,165","2,634","3,325","3,145","2,908","3,574","3,521","3,803","3,695","3,583","3,084","1,879","2,238","2,155","3,779","3,559","3,493","3,513","3,036","3,711","4,051","3,885","4,073","4,227","4,273","4,175","4,858","3,748",-,-,-,-,-,-
Market Cap Growth,-,-26.30%,-5.56%,-17.30%,-21.29%,-0.25%,14.16%,102.36%,65.07%,66.30%,-18.39%,-47.19%,-35.92%,-38.67%,24.46%,-4.11%,-13.79%,-9.57%,-25.46%,-12.20%,-5.19%,-6.95%,-16.16%,12.78%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,049","2,519","2,873","2,196","1,375","1,948","2,262","1,604","1,988","2,520","2,243","1,263",783,"1,702","3,685","2,815","3,409","3,496","2,632","3,442","3,307","3,193","3,039","3,113","3,045","3,398","3,816","2,581","-1,297",-,"-2,434",-,-,-875
PE Ratio,7.56,9.59,12.51,12.94,12.20,13.45,13.25,14.06,13.62,17.52,16.60,9.80,11.14,8.51,13.29,12.87,12.95,13.19,11.48,17.18,19.57,19.93,22.18,18.49,19.13,18.86,21.11,16.74,-,-,-,-,-,-
PS Ratio,2.65,3.22,4.20,4.17,3.96,4.69,4.67,5.11,5.02,5.62,5.04,3.01,3.50,3.03,5.02,4.80,4.77,4.83,4.20,5.04,5.55,5.38,5.69,5.90,6.04,6.01,6.85,5.41,-,-,-,-,-,-
PB Ratio,0.93,1.13,1.47,1.43,1.29,1.56,1.33,1.40,1.35,1.34,1.12,0.69,0.83,0.81,1.43,1.34,1.31,1.35,1.20,1.53,1.65,1.54,1.61,1.64,1.67,1.67,1.96,1.49,-,-,-,-,-,-
Debt / Equity Ratio,0.32,0.32,0.03,-,-,-,-,0.07,0.07,0.07,0.07,0.07,0.15,0.23,0.23,0.23,0.23,0.23,0.24,0.18,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-,0.08,-,-,0.14
Dividend Yield,6.40%,1.26%,1.00%,1.06%,1.14%,0.93%,0.95%,0.88%,0.91%,0.95%,1.10%,1.80%,1.51%,1.57%,0.90%,0.97%,1.00%,1.00%,1.07%,0.88%,0.82%,0.86%,0.75%,0.73%,0.72%,0.74%,0.57%,-,-,-,-,-,-,-
Payout Ratio,48.60%,50.00%,41.90%,48.10%,56.50%,57.80%,57.80%,52.00%,38.80%,59.10%,54.20%,52.00%,173.30%,86.70%,50.00%,46.40%,48.10%,50.00%,53.30%,48.00%,48.00%,49.00%,244.40%,52.40%,53.70%,53.70%,48.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,0.07%,0.07%,0.41%,1.09%,1.40%,1.89%,1.55%,0.67%,0.14%,-0.18%,0.28%,2.10%,3.45%,3.58%,3.08%,2.06%,2.47%,3.24%,3.29%,2.88%,1.13%,-0.07%,-0.05%,-0.14%,-0.13%,-0.13%,-0.06%,-0.03%,-,-,-,-,-,-
Total Shareholder Return,6.47%,1.33%,1.41%,2.15%,2.54%,2.82%,2.50%,1.56%,1.05%,0.76%,1.38%,3.90%,4.96%,5.16%,3.98%,3.03%,3.47%,4.25%,4.36%,3.76%,1.95%,0.80%,0.70%,0.59%,0.59%,0.61%,0.51%,-0.03%,-,-,-,-,-,-
