Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+10 Quarters
Market Capitalization,612,585,921,957,"1,118","1,718","2,119","1,393","1,258","1,016",575,353,378,343,746,648,654,569,577,745,894,916,801,"1,002",866,961,987,687,680,636,732,691,721,653,520,480,535,507,505,397,300,Upgrade
Market Cap Growth,-,-65.93%,-56.51%,-31.30%,-11.13%,69.09%,268.80%,294.58%,232.58%,196.19%,-22.96%,-45.50%,-42.17%,-39.73%,29.31%,-13.09%,-26.83%,-37.90%,-27.97%,-25.66%,3.18%,-4.61%,-18.85%,45.98%,27.48%,50.94%,34.83%,-0.57%,-5.79%,-2.53%,40.65%,43.86%,34.91%,28.85%,2.97%,20.90%,78.04%,63.70%,88.76%,148.27%,125.26%,Upgrade
Enterprise Value,923,896,"1,571","1,723","2,583","2,548","2,781",745,"4,999","5,305","5,702","6,668","4,886","2,532","2,226","2,112","2,434","2,098","2,182","1,147","3,433","3,444","2,717","2,687","2,909","2,421","1,870","1,706","2,540","2,283","2,358","1,541","1,916","2,062","1,965","1,944","1,771","1,187","1,057",379,722,Upgrade
PE Ratio,3.34,3.02,4.22,3.28,3.29,5.03,7.06,5.48,6.58,6.67,4.85,3.94,5.73,6.53,11.50,11.73,19.14,11.73,10.08,12.22,14.25,14.60,12.44,16.02,11.24,12.91,14.26,9.84,10.39,10.78,13.05,13.16,14.47,13.32,12.04,12.30,15.00,15.07,15.45,12.71,10.14,Upgrade
PS Ratio,1.07,1.02,1.55,1.41,1.49,2.29,2.88,2.05,2.22,2.04,1.42,1.14,1.32,1.25,2.59,2.02,2.27,1.89,1.85,2.34,2.64,2.69,2.36,3.03,2.55,2.99,3.26,2.47,2.83,2.96,3.60,3.54,3.98,3.66,3.21,3.20,3.80,3.91,4.06,3.52,2.89,Upgrade
PB Ratio,0.43,0.41,0.66,0.69,0.83,1.25,1.55,1.08,1.01,0.86,0.51,0.34,0.38,0.36,0.71,0.64,0.66,0.58,0.60,0.78,0.96,1.00,0.87,1.10,0.95,1.09,1.15,0.87,1.00,1.06,1.32,1.28,1.38,1.43,1.17,1.13,1.29,1.26,1.31,1.02,0.79,Upgrade
Debt / Equity Ratio,1.66,1.66,0.79,0.84,1.26,0.80,0.86,0.32,3.34,4.04,5.21,6.32,5.53,2.53,1.61,1.62,1.89,1.68,1.74,1.12,2.98,2.98,2.24,2.09,2.69,1.84,1.34,1.63,3.18,3.19,3.41,2.29,3.03,3.81,4.10,4.22,3.63,2.42,2.03,0.61,1.65,Upgrade
Dividend Yield,-,-,-,-,-,-,-,-,-,10.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,115.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,4.08%,4.08%,-0.32%,-0.25%,-2.22%,-3.19%,-2.57%,-2.73%,-2.53%,-1.74%,-0.90%,-0.92%,-1.04%,-0.97%,1.16%,1.39%,1.12%,1.14%,-2.86%,-3.06%,-2.81%,-3.18%,-11.84%,-12.60%,-13.28%,-13.12%,-2.46%,-1.56%,-0.81%,-0.48%,-0.55%,-0.53%,-0.39%,-0.35%,1.58%,1.47%,-31.44%,-31.39%,-33.77%,-115.89%,-62.88%,Upgrade
Total Shareholder Return,4.08%,4.08%,-0.32%,-0.25%,-2.22%,-3.19%,-2.57%,-2.73%,-2.53%,-1.74%,9.72%,-0.92%,-1.04%,-0.97%,1.16%,1.39%,1.12%,1.14%,-2.86%,-3.06%,-2.81%,-3.18%,-11.84%,-12.60%,-13.28%,-13.12%,-2.46%,-1.56%,-0.81%,-0.48%,-0.55%,-0.53%,-0.39%,-0.35%,1.58%,1.47%,-31.44%,-31.39%,-33.77%,-115.89%,-62.88%,Upgrade
