Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Market Capitalization,"6,123","5,984","5,185","5,252","5,915","7,071","6,292","5,578","4,586","4,661","4,103","3,634","3,417","3,208","2,983","2,950","2,999","2,420","2,962","3,426","2,938","2,992","2,618","2,343","2,299","2,075","1,672","1,495","1,627","1,714","1,422"
Market Cap Growth,-,-15.38%,-17.60%,-5.83%,28.98%,51.70%,53.37%,53.48%,34.20%,45.28%,37.54%,23.21%,13.94%,32.58%,0.69%,-13.89%,2.07%,-19.12%,13.14%,46.22%,27.83%,44.16%,56.60%,56.68%,41.32%,21.07%,17.62%,-,-,-,-
Enterprise Value,"5,770","5,718","4,870","4,952","5,278","6,200","5,534","4,965","3,914","4,197","3,856","3,389","3,195","3,086","2,922","2,902","2,722","2,172","2,746","3,293","2,650","2,807","2,389","2,177","1,838","1,866","1,567","1,483","1,537","1,660","1,386"
PE Ratio,23.31,23.04,14.00,12.43,13.51,14.98,15.10,15.82,14.66,17.11,20.23,19.42,18.59,18.86,18.06,17.13,18.85,15.94,17.48,21.05,17.06,17.78,18.62,18.28,21.22,21.39,19.51,20.18,23.32,23.90,19.41
PS Ratio,3.29,3.26,2.29,2.27,2.61,3.08,3.23,3.31,3.01,3.51,3.65,3.24,2.95,2.80,2.68,2.65,2.77,2.33,2.97,3.55,3.05,3.07,2.72,2.58,2.64,2.60,2.21,2.05,2.35,2.46,2.07
PB Ratio,3.92,3.88,3.58,3.71,4.10,4.62,4.38,4.03,3.32,3.44,3.28,3.00,3.47,3.39,3.35,3.30,3.37,2.85,3.58,4.18,3.45,3.63,3.33,3.08,3.16,2.89,2.41,2.21,2.50,2.70,2.32
Debt / Equity Ratio,0.18,0.18,0.13,0.13,0.14,0.12,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.16,0.18,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.06,0.07,0.14,0.12,0.12,0.10
Dividend Yield,2.38%,0.62%,0.71%,0.69%,0.49%,0.42%,0.47%,0.53%,0.50%,0.49%,0.56%,0.57%,0.60%,0.63%,0.69%,0.69%,0.59%,0.73%,0.60%,0.52%,0.45%,0.44%,0.51%,0.57%,0.58%,0.55%,0.68%,0.75%,0.60%,0.57%,-
Payout Ratio,49.30%,53.50%,55.20%,47.30%,41.70%,16.00%,24.90%,32.80%,22.00%,18.50%,45.20%,43.10%,32.60%,39.20%,58.50%,44.90%,36.50%,38.00%,42.20%,57.40%,32.80%,20.40%,37.00%,31.70%,36.40%,30.40%,50.00%,53.10%,39.50%,39.50%,0.00%
Buyback Yield / Dilution,-2.12%,-2.12%,-1.80%,-0.16%,2.06%,1.55%,1.51%,-2.87%,-5.04%,-5.71%,-5.34%,-1.79%,-0.25%,0.23%,-0.06%,0.81%,0.71%,0.55%,1.29%,0.33%,0.85%,0.85%,-0.14%,-0.04%,-1.76%,-1.97%,-6.57%,-9.73%,-8.30%,-8.44%,-3.89%
Total Shareholder Return,0.29%,-1.50%,-1.09%,0.54%,2.55%,1.97%,1.98%,-2.34%,-4.54%,-5.22%,-4.78%,-1.22%,0.34%,0.86%,0.63%,1.50%,1.30%,1.28%,1.89%,0.85%,1.30%,1.30%,0.37%,0.53%,-1.18%,-1.42%,-5.89%,-8.97%,-7.69%,-7.87%,-3.89%
