Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"1,078","1,304",428,504,582,544,942,"2,554",-,-,-,-,-,-
Market Cap Growth,-,139.85%,-54.56%,-80.26%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,484,701,-132,-47,52,13,452,"1,975",-329,-375,-,-,-,-187
PE Ratio,12.95,14.96,7.51,-14.30,-3.27,-2.02,-2.83,-8.77,-,-,-,-,-,-
PS Ratio,2.71,3.25,1.13,1.24,1.25,1.09,1.77,4.72,-,-,-,-,-,-
PB Ratio,1.59,1.91,0.66,0.77,0.91,0.88,1.51,3.70,-,-,-,-,-,-
Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,-0.03,-0.04,-,-,-,-0.06
Current Ratio,5.07,5.07,5.16,5.29,4.86,4.03,3.87,3.88,3.07,3.57,-,-,-,2.82
Buyback Yield / Dilution,-34.51%,-36.00%,-1.48%,-40.37%,-237.19%,-152.93%,-237.28%,-147.34%,0.18%,1.76%,-,-,-,-
Total Shareholder Return,-34.51%,-36.00%,-1.48%,-40.37%,-237.19%,-152.93%,-237.28%,-147.34%,0.18%,1.76%,-,-,-,-
