Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31
Market Capitalization,867,945,834,840,870,"1,294","1,159",943,"1,011",971,710,836,915,-,-,-,-,-,-
Market Cap Growth,-,-26.97%,-28.05%,-10.93%,-13.92%,33.25%,63.16%,12.72%,10.44%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,871,950,833,843,865,"1,277","1,133",910,975,932,674,791,877,-,-57,-,-,-65,-228
PE Ratio,47.75,50.29,47.29,41.03,33.31,35.53,34.92,31.71,34.01,33.34,26.33,38.54,52.80,-,-,-,-,-,-
PS Ratio,6.05,6.60,5.74,5.37,5.38,7.74,7.04,6.06,6.75,6.72,5.83,8.04,10.33,-,-,-,-,-,-
PB Ratio,3.11,3.39,3.01,3.09,3.03,4.36,3.98,3.23,3.40,3.35,2.44,3.02,3.41,-,-,-,-,-,-
Debt / Equity Ratio,0.20,0.20,0.20,0.20,0.16,0.13,0.10,0.12,0.07,0.08,0.06,0.06,0.07,-,0.06,-,-,-,0.03
Current Ratio,2.76,2.76,2.99,3.27,2.94,2.85,2.76,2.22,2.61,2.64,1.81,1.55,1.77,-,2.71,-,-,2.05,4.28
Dividend Yield,2.16%,-,0.75%,0.75%,0.72%,0.50%,0.55%,0.68%,0.64%,0.66%,1.51%,1.18%,-,-,-,-,-,-,-
Payout Ratio,101.40%,0.00%,86.20%,208.30%,833.30%,96.20%,61.00%,71.40%,56.80%,192.30%,162.20%,111.70%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-0.74%,-0.74%,2.67%,2.48%,2.32%,-0.79%,-4.90%,-4.89%,-1.37%,-0.83%,3.37%,3.36%,-,-,-,-,-,-,-
Total Shareholder Return,1.42%,-0.74%,3.42%,3.22%,3.04%,-0.29%,-4.34%,-4.21%,-0.73%,-0.18%,4.88%,4.54%,-,-,-,-,-,-,-
