Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+22 Quarters
Market Capitalization,"36,799","44,753","37,194","33,955","33,435","40,868","50,514","50,153","43,938","34,622","37,015","29,840","27,906","24,506","21,870","18,443","20,220","16,767","12,979","15,760","14,727","13,444","11,397","10,528","9,316","8,800","7,415","7,943","7,442","7,318","7,406","6,520","6,920","7,801","5,315","5,480","5,351","5,016","5,177","4,870","4,016",Upgrade
Market Cap Growth,-,9.51%,-26.37%,-32.30%,-23.90%,18.04%,36.47%,68.07%,57.45%,41.28%,69.25%,61.80%,38.01%,46.16%,68.50%,17.03%,37.30%,24.72%,13.87%,49.70%,58.09%,52.77%,53.70%,32.54%,25.18%,20.25%,0.12%,21.82%,7.55%,-6.19%,39.35%,19.00%,29.32%,55.50%,2.67%,12.51%,33.23%,22.97%,36.81%,11.72%,-2.87%,Upgrade
Enterprise Value,"40,148","48,314","40,844","37,738","37,237","44,491","53,404","53,179","46,075","36,890","39,234","32,056","30,042","26,771","23,599","20,304","22,193","18,869","14,650","16,936","15,933","14,673","12,586","11,806","10,642","10,179","8,698","9,044","8,618","8,453","8,208","7,106","7,265","8,063","5,594","5,824","5,466","5,559","5,626","5,394","4,500",Upgrade
PE Ratio,41.89,50.81,42.72,39.97,41.65,53.95,69.58,72.86,62.70,53.22,61.51,52.50,53.36,45.93,38.80,31.10,34.87,29.37,25.55,37.49,38.59,38.84,37.49,34.22,32.38,32.18,28.43,31.52,29.64,30.47,33.12,31.26,35.32,31.51,18.71,19.09,18.41,20.56,23.26,21.20,18.03,Upgrade
PS Ratio,16.04,19.62,16.54,15.28,15.35,19.23,24.72,25.89,23.81,19.70,21.83,17.99,17.15,15.29,14.04,12.19,13.69,11.53,9.05,11.20,10.74,10.15,8.95,8.54,7.77,7.50,6.44,7.03,6.70,6.71,6.89,6.19,6.68,7.65,5.33,5.58,5.58,5.37,5.67,6.08,4.97,Upgrade
PB Ratio,-49.65,-49.65,-36.90,-31.52,-32.57,-46.48,-309.02,-179.10,-119.46,-71.89,-83.51,-77.19,-89.75,-69.16,-285.08,-124.74,-87.23,-52.97,-77.95,41.64,42.51,31.91,28.42,29.22,30.33,31.56,23.35,14.40,13.91,11.89,8.22,5.83,4.83,5.36,3.71,3.92,3.21,3.21,3.31,3.20,2.58,Upgrade
Debt / Equity Ratio,-5.15,-5.15,-4.61,-4.32,-4.52,-4.89,-26.38,-15.39,-11.17,-8.34,-7.94,-9.10,-11.33,-9.40,-42.18,-18.54,-11.84,-8.67,-15.47,6.80,7.43,4.93,5.18,5.77,6.76,7.44,6.53,3.76,2.95,2.57,1.75,1.41,0.56,0.55,0.55,0.57,0.48,0.51,0.52,0.53,0.53,Upgrade
Current Ratio,1.50,1.50,1.40,1.43,1.33,1.15,1.71,1.82,2.69,1.62,1.89,2.21,2.26,2.03,2.31,1.86,1.73,1.63,1.77,2.75,2.65,2.06,2.09,2.05,1.96,1.99,1.97,2.44,1.45,1.63,2.13,2.62,1.69,1.75,1.63,1.52,2.12,1.81,1.24,1.11,1.24,Upgrade
Dividend Yield,1.15%,0.25%,0.27%,0.30%,0.25%,0.21%,0.17%,0.17%,0.15%,0.19%,0.18%,0.22%,0.21%,0.24%,0.27%,0.32%,0.24%,0.30%,0.37%,0.34%,0.24%,0.26%,0.31%,0.33%,0.28%,0.29%,0.35%,0.34%,0.29%,0.30%,0.31%,0.37%,0.29%,0.26%,0.38%,-,-,-,-,-,-,Upgrade
Payout Ratio,44.90%,46.30%,46.50%,46.50%,40.00%,37.10%,44.30%,50.50%,38.80%,32.80%,41.30%,35.80%,49.30%,38.90%,46.90%,42.00%,39.20%,27.50%,31.40%,41.70%,29.00%,29.70%,53.50%,40.40%,31.10%,35.00%,38.40%,40.60%,31.90%,36.10%,38.60%,37.30%,36.00%,46.20%,45.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,2.19%,2.19%,3.78%,3.21%,2.40%,1.45%,0.15%,1.09%,1.25%,2.40%,2.16%,1.25%,1.22%,0.12%,-2.73%,6.37%,6.76%,7.49%,9.94%,0.54%,0.13%,-1.05%,1.45%,3.78%,5.35%,8.37%,9.65%,12.76%,14.21%,11.91%,8.43%,6.59%,4.02%,4.28%,5.45%,2.83%,3.61%,2.55%,2.44%,2.33%,0.99%,Upgrade
Total Shareholder Return,3.34%,2.44%,4.05%,3.51%,2.65%,1.66%,0.32%,1.27%,1.40%,2.59%,2.33%,1.47%,1.43%,0.36%,-2.46%,6.69%,7.01%,7.79%,10.31%,0.88%,0.37%,-0.79%,1.76%,4.11%,5.62%,8.67%,10.01%,13.10%,14.49%,12.21%,8.74%,6.96%,4.32%,4.54%,5.84%,2.83%,3.61%,2.55%,2.44%,2.33%,0.99%,Upgrade
