Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Market Capitalization,343,400,483,399,388,430,434,420,429,439,337,310,348,269,395,388,413,402,348,445,469,428,417,484,474,509,287,222,211,200,206,192,212,194,190,172,165,151,157,145,144,Upgrade
Market Cap Growth,-,-6.89%,11.33%,-5.10%,-9.42%,-2.24%,28.56%,35.58%,23.23%,63.17%,-14.60%,-20.02%,-15.75%,-32.93%,13.51%,-12.96%,-12.00%,-6.21%,-16.55%,-7.93%,-1.11%,-15.86%,45.44%,118.30%,124.37%,154.92%,38.86%,15.62%,-0.10%,2.94%,8.62%,11.67%,28.29%,28.33%,20.66%,18.47%,14.89%,5.35%,19.35%,3.60%,2.53%,Upgrade
Enterprise Value,659,716,785,566,499,497,362,329,595,568,447,540,884,741,869,"1,001","1,129","1,094",973,"1,155","1,187","1,166","1,156","1,253","1,270","1,352",815,719,711,685,671,575,709,672,627,562,624,540,558,497,491,Upgrade
PE Ratio,7.21,8.43,11.08,9.77,9.61,11.04,11.03,11.01,12.06,12.56,10.14,10.76,13.68,11.68,17.46,14.89,13.77,12.39,10.56,13.95,14.86,14.47,16.04,22.01,27.93,34.53,19.20,14.01,13.12,12.73,13.62,12.96,14.37,13.19,13.01,11.61,11.42,10.99,11.95,11.36,11.41,Upgrade
PS Ratio,2.25,2.63,3.30,2.84,2.77,3.11,3.12,2.94,3.09,3.17,2.47,2.40,2.77,2.23,3.39,3.39,3.62,3.49,3.00,3.83,4.00,3.65,3.61,4.87,5.66,7.37,5.05,3.94,3.83,3.74,3.97,3.74,4.18,3.85,3.82,3.48,3.41,3.25,3.48,3.25,3.26,Upgrade
PB Ratio,0.84,0.98,1.23,1.05,0.99,1.06,1.02,1.00,1.03,1.08,0.83,0.77,0.86,0.67,1.00,0.98,1.06,1.05,0.94,1.25,1.32,1.22,1.18,1.37,1.37,1.49,1.83,1.35,1.28,1.24,1.34,1.24,1.42,1.29,1.30,1.21,1.20,1.17,1.30,1.17,1.19,Upgrade
Debt / Equity Ratio,0.98,0.98,1.00,0.66,0.45,0.44,0.42,0.60,0.82,0.87,0.83,1.10,1.50,1.38,1.34,1.74,1.99,1.96,1.95,2.19,2.19,2.23,2.34,2.32,2.64,2.60,3.42,3.12,3.18,3.07,3.08,2.57,3.46,3.24,3.06,2.86,3.41,3.10,3.37,2.95,3.00,Upgrade
Dividend Yield,4.68%,0.99%,0.82%,0.99%,1.01%,0.84%,0.83%,0.86%,0.84%,0.75%,0.97%,1.07%,0.98%,1.27%,0.87%,0.88%,0.83%,0.78%,0.89%,0.70%,0.66%,0.68%,0.70%,0.60%,0.61%,0.54%,0.60%,0.76%,0.78%,0.81%,0.75%,0.80%,0.71%,0.75%,0.73%,0.79%,0.80%,0.84%,0.80%,0.86%,0.85%,Upgrade
Payout Ratio,33.00%,30.20%,31.30%,34.20%,37.10%,39.30%,36.40%,32.40%,40.00%,34.90%,37.90%,39.30%,40.00%,44.00%,81.50%,68.80%,56.40%,42.60%,40.80%,34.50%,36.40%,36.70%,42.50%,33.40%,43.50%,64.50%,66.80%,45.80%,37.50%,36.10%,45.20%,38.60%,38.60%,37.60%,44.50%,35.30%,34.40%,33.70%,38.10%,35.00%,38.30%,Upgrade
Buyback Yield / Dilution,-0.58%,-0.58%,-0.48%,-0.41%,-0.23%,-0.63%,-0.89%,0.34%,2.58%,3.76%,4.23%,3.07%,0.93%,-0.04%,-0.24%,-0.01%,-0.10%,-0.22%,-0.10%,-0.44%,-0.42%,-6.59%,-69.78%,-69.30%,-69.85%,-59.95%,-2.17%,-0.89%,-0.81%,-0.85%,-0.90%,-0.99%,-0.95%,-0.80%,-0.48%,-0.44%,-0.41%,-0.40%,-0.79%,-0.65%,-0.99%,Upgrade
Total Shareholder Return,4.10%,0.40%,0.33%,0.57%,0.78%,0.21%,-0.06%,1.20%,3.43%,4.51%,5.20%,4.14%,1.91%,1.24%,0.63%,0.88%,0.73%,0.56%,0.79%,0.25%,0.24%,-5.91%,-69.08%,-68.70%,-69.24%,-59.42%,-1.58%,-0.13%,-0.04%,-0.04%,-0.15%,-0.19%,-0.24%,-0.05%,0.25%,0.35%,0.39%,0.44%,0.00%,0.21%,-0.14%,Upgrade
