Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,678,777,856,547,540,881,"1,191","1,234","1,198",352,356,279,-,-,-
Market Cap Growth,-,-11.83%,-28.19%,-55.65%,-54.95%,150.41%,234.93%,341.88%,-,-,-,-,-,-,-
Enterprise Value,733,838,847,561,489,696,730,864,901,355,230,278,-0,-,-50
PE Ratio,201.25,201.25,47.86,28.95,25.42,-1672.29,-126.47,75.23,101.09,158.04,-14.61,-1.46,-,-,-
PS Ratio,1.10,1.27,1.36,0.85,0.80,1.12,1.49,1.56,1.63,0.59,0.69,0.32,-,-,-
PB Ratio,5.04,5.83,6.22,3.91,4.08,5.88,9.43,9.85,9.82,3.76,4.80,55.84,-,-,-
Debt / Equity Ratio,1.27,1.27,1.20,1.14,0.77,0.27,0.34,0.38,0.45,2.16,2.77,-,0.04,-,2.64
Current Ratio,-,-,-,-,-,-,-,-,-,-,1.81,79.74,-,-,0.25
Dividend Yield,3.55%,-,0.72%,1.12%,1.18%,0.74%,0.54%,0.53%,-,-,-,-,-,-,-
Payout Ratio,233.30%,0.00%,-233.30%,233.30%,33.30%,36.80%,-700.00%,87.50%,0.00%,-,-,-,-,-,-
Buyback Yield / Dilution,7.10%,7.10%,5.74%,5.37%,3.54%,-45.86%,-218.90%,-194.56%,-525.28%,-,-323.30%,-358.22%,-,-,-
Total Shareholder Return,10.69%,7.10%,6.45%,6.49%,4.71%,-45.12%,-218.35%,-194.03%,-525.28%,-,-323.30%,-358.22%,-,-,-
