Metrics,Current,2022-10-31,2022-04-30,2021-10-31,2021-04-30,2020-10-31,2020-04-30,2019-10-31,2019-04-30
Market Capitalization,89,-,-,-,-,-,28,-,-
Enterprise Value,76,-13,-8,-15,-25,-6,25,-4,-4
PE Ratio,0,0,0,0,0,0,-0.45,0,0
PS Ratio,0,0,0,0,0,0,4.99,0,0
PB Ratio,0.94,0,0,0,0,0,0.92,0,0
Debt / Equity Ratio,0.69,0.69,0.62,0.53,0.65,0.53,0.73,0.49,0.46
Current Ratio,0,0,0,2.59,0,0,0,0,0
Asset Turnover,-,-,-,-,-,0.11,-,-,
Return on Equity (ROE),-,-,-,-,-,-51.16%,-,-,
Return on Assets (ROA),-,-,-,-,-,-29.66%,-,-,
Return on Capital (ROIC),-,-,-,-,-,5.60%,-,-,
Earnings Yield,-,-,-,-,-,-55.68%,-,-,
FCF Yield,0.00%,0.00%,0.00%,0.00%,0.00%,-2.53%,0.00%,0.00%,
Dividend Yield,24.86%,-,-,-,-,-,11.37%,-,-
Payout Ratio,-,0.00%,0.00%,0.00%,0.00%,0.00%,-20.42%,0.00%,0.00%
Total Shareholder Return,24.93%,-,-,-,-,-,-,-,-
