Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"34,983","36,645","35,483","35,376","40,952","54,310","61,754","72,257","69,841","58,429","45,214","32,814","28,498","23,048","47,927","42,791","42,611","38,221","35,804","45,417","44,703","46,596","48,271","40,949","39,903","41,652","42,076","36,351","32,523","36,553","38,403","39,337","48,069","43,476","45,895","45,815","47,213","44,198","44,170","40,236","36,691",Upgrade
Market Cap Growth,-,-32.53%,-42.54%,-51.04%,-41.36%,-7.05%,36.58%,120.20%,145.07%,153.51%,-5.66%,-23.32%,-33.12%,-39.70%,33.86%,-5.78%,-4.68%,-17.97%,-25.83%,10.91%,12.03%,11.87%,14.72%,12.65%,22.69%,13.95%,9.56%,-7.59%,-32.34%,-15.93%,-16.32%,-14.14%,1.81%,-1.63%,3.91%,13.86%,28.68%,38.14%,31.08%,21.51%,15.67%,Upgrade
Enterprise Value,"36,989","38,909","53,342","65,091","78,337","72,864","83,094","83,134","71,338","46,384","45,244","31,503","17,580","53,793","90,217","75,820","76,733","71,110","81,523","86,740","85,740","83,281","94,512","91,923","83,142","80,776","92,560","87,077","84,555","81,815","89,495","75,278","86,679","75,614","87,110","81,910","79,595","68,134","78,533","66,363","68,269",Upgrade
PE Ratio,6.26,6.53,5.04,4.33,4.29,4.92,5.16,5.95,6.09,8.33,19.04,35.25,-241.51,9.51,9.23,8.04,7.76,6.62,6.27,13.00,14.41,20.84,28.33,11.85,11.83,12.64,11.98,9.96,8.63,9.81,9.92,9.84,12.09,10.06,10.57,10.90,11.15,10.65,10.90,10.02,8.95,Upgrade
PS Ratio,1.29,1.36,1.25,1.20,1.34,1.70,1.91,2.28,2.28,2.40,2.48,1.95,1.86,1.23,2.14,1.93,1.92,1.71,1.61,2.07,2.09,2.29,2.45,2.11,2.09,2.21,2.21,1.91,1.71,1.94,2.03,2.10,2.58,2.31,2.45,2.46,2.51,2.34,2.33,2.14,1.95,Upgrade
PB Ratio,0.64,0.67,0.68,0.70,0.77,0.96,1.01,1.14,1.08,0.96,0.75,0.56,0.51,0.41,0.83,0.74,0.76,0.72,0.69,0.90,0.90,0.95,0.99,0.82,0.81,0.87,0.89,0.75,0.68,0.77,0.81,0.83,1.03,0.95,1.02,1.04,1.08,1.03,1.06,0.96,0.89,Upgrade
Debt / Equity Ratio,0.89,0.89,0.93,1.07,1.10,0.81,0.71,0.59,0.56,0.63,0.67,0.73,0.80,0.98,0.96,0.86,0.88,0.94,1.14,1.03,1.07,1.03,1.24,1.19,1.02,1.01,1.27,1.24,1.23,1.06,1.25,0.90,0.98,0.90,1.08,0.96,0.89,0.70,0.98,0.76,0.88,Upgrade
Dividend Yield,2.62%,0.62%,0.65%,0.65%,0.58%,0.46%,0.41%,0.37%,0.26%,0.31%,0.10%,0.14%,0.64%,0.79%,0.39%,0.44%,0.44%,0.49%,0.53%,0.42%,0.44%,0.42%,0.40%,0.47%,0.48%,0.46%,0.46%,0.56%,0.63%,0.58%,0.55%,0.55%,0.45%,0.38%,0.36%,0.37%,0.36%,0.39%,0.39%,0.44%,0.48%,Upgrade
Payout Ratio,16.40%,25.90%,19.50%,14.30%,12.00%,10.60%,10.90%,8.80%,5.20%,5.70%,1.90%,2.00%,-18.10%,-12.90%,17.60%,14.80%,12.30%,13.90%,15.90%,13.30%,10.70%,15.20%,-18.50%,18.50%,20.40%,25.60%,26.80%,20.80%,23.50%,21.60%,24.80%,20.00%,26.30%,14.80%,17.00%,15.90%,14.50%,15.10%,20.50%,16.00%,16.00%,Upgrade
Buyback Yield / Dilution,7.88%,7.88%,10.32%,13.96%,12.94%,9.92%,6.95%,2.30%,0.84%,-0.46%,1.79%,2.91%,3.04%,2.30%,1.68%,1.69%,3.46%,3.79%,2.29%,1.09%,-0.72%,-1.17%,-0.51%,4.42%,5.69%,8.86%,9.35%,6.70%,6.28%,4.39%,4.30%,3.37%,4.40%,3.70%,3.57%,4.10%,2.15%,1.62%,0.88%,-0.77%,-0.66%,Upgrade
Total Shareholder Return,10.52%,8.50%,10.97%,14.62%,13.52%,10.38%,7.36%,2.67%,1.10%,-0.15%,1.89%,3.05%,3.68%,3.09%,2.06%,2.13%,3.90%,4.27%,2.82%,1.51%,-0.28%,-0.76%,-0.10%,4.90%,6.17%,9.32%,9.81%,7.26%,6.91%,4.97%,4.86%,3.92%,4.86%,4.09%,3.93%,4.47%,2.52%,2.01%,1.27%,-0.34%,-0.18%,Upgrade
