Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Market Capitalization,246,3,1,8,11,36,65,99,-,-,-,-,-,-
Market Cap Growth,-,-92.40%,-98.02%,-91.51%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,320,77,137,139,120,109,76,72,-19,-,3,-,-,1
PE Ratio,-0.01,-0.01,0.00,-0.05,-0.07,-0.77,-1.47,-25.17,-,-,-,-,-,-
PS Ratio,3.64,0.04,0.01,0.07,0.08,0.31,0.67,1.43,-,-,-,-,-,-
PB Ratio,-0.06,-0.06,-0.03,0.09,0.10,0.17,0.31,0.48,-,-,-,-,-,-
Debt / Equity Ratio,-2.00,-2.00,-3.23,1.90,1.59,0.79,0.45,0.12,0.21,-,0.19,-,-,0.38
Current Ratio,1.02,1.02,0.34,0.55,0.87,1.13,2.41,1.93,2.93,-,0.67,-,-,2.40
Buyback Yield / Dilution,-3.20%,-30.13%,-32.44%,-8.41%,-7.83%,-7.03%,16.59%,-,-,-,-,-,-,-
Total Shareholder Return,-3.20%,-30.13%,-32.44%,-8.41%,-7.83%,-7.03%,16.59%,-,-,-,-,-,-,-
