Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,"2,077","2,324","1,698","1,351","1,381","1,637","1,928","1,829","1,816","1,691","1,753","1,575","1,976","1,476","2,101","1,886",-,-,-
Market Cap Growth,-,41.99%,-11.89%,-26.16%,-23.93%,-3.22%,9.95%,16.14%,-8.08%,14.58%,-16.55%,-16.49%,-,-,-,-,-,-,-
Enterprise Value,"2,051","2,294","1,689","1,330","1,382","1,654","1,967","1,897","1,791","1,697","1,768","1,602","2,023","1,539","2,110","1,915",169,-,132
PE Ratio,21.17,23.65,16.45,15.00,19.14,28.81,75.10,529.40,-9170.85,-86.89,-224.43,-2292.51,-151.82,-2981.89,-5002.49,182.47,-,-,-
PS Ratio,3.22,3.60,2.75,2.26,2.37,2.93,3.64,3.68,3.90,3.88,4.06,3.64,4.54,3.35,5.03,4.66,-,-,-
PB Ratio,1.81,2.03,1.51,1.23,1.30,1.58,1.91,1.85,1.92,1.82,1.94,1.75,2.25,1.69,2.45,2.23,-,-,-
Debt / Equity Ratio,0.11,0.11,0.12,0.13,0.14,0.14,0.14,0.15,0.19,0.11,0.12,0.17,0.18,0.18,0.14,0.14,0.34,-,0.35
Current Ratio,2.54,2.54,2.54,3.72,3.35,3.05,2.28,2.23,5.88,4.05,2.69,4.14,3.85,3.56,3.20,2.77,2.56,-,2.58
Buyback Yield / Dilution,-0.94%,-0.94%,-0.49%,-0.38%,-2.13%,-4.62%,-22.23%,-4.99%,-7.36%,-1.59%,-6.49%,-1.15%,-1.60%,-4.79%,14.31%,-4.72%,-,-,-
Total Shareholder Return,-0.94%,-0.94%,-0.49%,-0.38%,-2.13%,-4.62%,-22.23%,-4.99%,-7.36%,-1.59%,-6.49%,-1.15%,-1.60%,-4.79%,14.31%,-4.72%,-,-,-
