Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Market Capitalization,239,123,91,153,243,253,505,470,310,273,383,372,342,432,847,835,652,"1,116","1,287","2,441","2,627","2,506","1,494","1,499","1,238","1,415",831
Market Cap Growth,-,-51.39%,-81.98%,-67.44%,-21.48%,-7.34%,31.69%,26.43%,-9.29%,-36.87%,-54.76%,-55.42%,-47.61%,-61.29%,-34.20%,-65.80%,-75.18%,-55.46%,-13.82%,62.80%,112.21%,77.11%,79.86%,-,-,-,-
Enterprise Value,-271,-388,-305,-370,-45,47,314,214,-15,-149,-14,-53,-82,95,488,496,213,982,"1,101","1,984","2,074","2,032","1,111","1,169",921,"1,101",510
PE Ratio,1.45,0.72,-,0.94,1.51,11.43,-33.31,-5.82,-2.93,6.86,6.49,3.23,2.07,1.77,4.26,3.96,2.85,-14.78,-108.31,-4941.45,-92.42,12.79,7.57,7.74,7.65,-,9.85
PS Ratio,0.48,0.25,-,0.27,0.35,0.35,0.74,0.77,0.51,0.36,0.44,0.34,0.28,0.36,0.67,0.59,0.40,0.46,0.53,1.08,1.51,3.48,2.45,2.79,2.64,-,2.61
PB Ratio,0.28,0.14,0.12,0.20,0.32,0.36,0.79,0.78,0.54,0.43,0.64,0.58,0.53,1.05,2.18,2.21,-12.40,1.60,1.86,3.55,5.85,6.67,3.70,4.15,3.99,5.39,4.00
Debt / Equity Ratio,0.13,0.13,0.15,0.17,0.23,0.24,0.25,0.22,0.15,0.03,0.05,0.06,0.07,0.11,0.13,0.14,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.04%,-,-,14.59%,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,0.00%,393.60%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-2.23%,-4.72%,-6.31%,-1.21%,-2.72%,6.11%,8.86%,9.14%,10.15%,1.94%,0.56%,0.22%,-0.01%,-0.72%,-0.55%,-0.44%,-2.40%,-49.81%,-53.63%,-53.72%,-50.94%,-2.19%,-3.28%,-3.28%,-18.73%,-20.86%,-
Total Shareholder Return,-2.23%,-4.72%,-6.31%,-1.21%,-2.72%,6.11%,8.86%,9.14%,10.15%,1.94%,0.56%,0.22%,-0.01%,-0.72%,-0.55%,-0.44%,-2.40%,-49.81%,-49.59%,-53.72%,-50.94%,12.40%,-3.28%,-3.28%,-18.73%,-20.86%,-
