Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+10 Quarters
Market Capitalization,482,535,502,391,371,442,469,335,305,291,169,167,221,180,281,252,218,218,201,239,257,306,225,306,339,362,305,288,235,245,264,276,302,277,337,344,362,312,303,308,72,Upgrade
Market Cap Growth,-,21.13%,7.02%,16.71%,21.65%,51.73%,177.67%,100.68%,37.62%,62.06%,-39.98%,-33.69%,1.77%,-17.73%,40.05%,5.04%,-15.52%,-28.52%,-10.81%,-21.83%,-23.98%,-15.53%,-26.16%,6.30%,43.89%,47.52%,15.46%,4.33%,-22.17%,-11.44%,-21.60%,-19.59%,-16.42%,-11.21%,11.33%,11.41%,404.56%,351.09%,294.88%,325.09%,0.32%,Upgrade
Enterprise Value,403,457,210,143,281,636,667,537,509,508,340,383,466,459,511,427,325,400,458,511,514,526,429,"1,037","1,046","1,019",786,974,819,893,843,769,567,676,640,565,503,532,448,389,36,Upgrade
PE Ratio,-63.90,-63.90,-60.64,-40.82,-17.01,51.43,12.30,6.34,4.79,4.90,-5.79,-4.25,-4.14,-3.94,15.32,17.49,14.29,50.82,8.39,7.08,8.22,11.72,62.50,241.23,32.92,17.34,12.05,20.67,67.56,19.92,45.72,-1201.09,35.13,-64.17,-197.05,29.16,38.80,29.14,29.12,35.11,7.14,Upgrade
PS Ratio,0.33,0.37,0.36,0.29,0.29,0.36,0.39,0.29,0.28,0.30,0.21,0.22,0.31,0.25,0.36,0.35,0.31,0.33,0.32,0.38,0.43,0.52,0.39,0.57,0.64,0.69,0.60,0.61,0.51,0.56,0.67,0.79,1.21,1.75,4.20,-47.82,153.18,24.94,12.75,6.81,1.19,Upgrade
PB Ratio,1.20,1.34,1.26,1.01,0.95,1.21,1.22,0.87,0.79,0.77,0.47,0.48,0.66,0.54,0.71,0.64,0.55,0.57,0.52,0.62,0.65,0.95,0.75,1.05,1.16,1.23,1.04,1.00,0.82,0.77,0.84,0.86,1.02,0.97,1.19,1.39,2.95,2.56,3.06,2.70,0.71,Upgrade
Debt / Equity Ratio,0.87,0.87,0.65,0.69,0.67,1.07,1.03,0.97,0.99,1.04,1.03,1.14,1.20,1.30,0.94,0.83,0.75,0.74,0.91,0.94,0.93,1.00,1.15,2.96,2.83,2.55,1.89,2.70,2.28,2.24,2.13,1.96,1.56,1.66,1.28,1.72,2.33,3.13,2.72,2.09,0.33,Upgrade
Dividend Yield,1.30%,-,0.29%,0.38%,0.38%,0.31%,0.25%,0.41%,0.44%,0.50%,0.79%,0.81%,0.61%,0.77%,0.49%,0.55%,0.63%,0.56%,0.63%,0.53%,0.51%,0.29%,0.50%,0.29%,0.26%,0.30%,0.23%,0.32%,0.37%,0.36%,0.33%,0.31%,0.53%,-,-,-,-,-,-,0.07%,2.21%,Upgrade
Payout Ratio,-48.00%,0.00%,133.30%,10.30%,-6.20%,-133.30%,-200.00%,66.70%,16.70%,4.70%,9.80%,10.80%,36.40%,-2.30%,33.30%,-100.00%,12.10%,31.80%,-,-175.00%,175.00%,3.80%,8.80%,-27.30%,-20.00%,75.00%,9.60%,12.50%,13.90%,15.60%,-20.80%,-19.20%,10.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.10%,47.00%,Upgrade
Buyback Yield / Dilution,-6.70%,-6.70%,-22.45%,-7.77%,-4.95%,5.40%,10.63%,-1.33%,1.22%,-4.68%,3.92%,2.51%,1.57%,0.31%,3.82%,5.08%,7.65%,-16.11%,3.68%,-23.58%,-29.67%,18.74%,-31.69%,20.88%,16.50%,-4.75%,19.10%,-9.99%,-8.30%,-9.17%,-108.79%,-93.97%,-200.27%,-203.58%,-64.38%,-69.89%,-3.65%,-3.27%,2.53%,-0.33%,-0.19%,Upgrade
Total Shareholder Return,-5.40%,-6.70%,-22.16%,-7.39%,-4.57%,5.71%,10.89%,-0.92%,1.67%,-4.18%,4.70%,3.32%,2.19%,1.08%,4.31%,5.63%,8.28%,-15.56%,4.30%,-23.05%,-29.16%,19.04%,-31.19%,21.17%,16.75%,-4.44%,19.33%,-9.67%,-7.94%,-8.81%,-108.45%,-93.67%,-199.74%,-203.58%,-64.38%,-69.89%,-3.65%,-3.27%,2.53%,-0.27%,2.03%,Upgrade
