Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Market Capitalization,130,129,146,139,119,-,-,-,-,-,-,-
Enterprise Value,99,98,268,116,67,-27,23,18,82,3,-,20
PE Ratio,6.57,6.57,6.52,5.92,4.81,-,-,-,-,-,-,-
PS Ratio,2.11,2.09,2.27,2.12,1.79,-,-,-,-,-,-,-
PB Ratio,0.72,0.72,0.82,0.81,0.71,-,-,-,-,-,-,-
Debt / Equity Ratio,0.96,0.96,1.55,0.73,0.49,0.74,1.06,1.50,2.20,0.98,-,1.28
Dividend Yield,2.81%,-,0.49%,0.52%,0.49%,-,-,-,-,-,-,-
Payout Ratio,10.90%,0.00%,13.70%,13.00%,12.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-23.32%,-23.32%,-28.51%,-30.95%,-23.20%,-38.98%,-,-33.98%,-13.83%,-0.88%,-,-
Total Shareholder Return,-20.51%,-23.32%,-28.02%,-30.43%,-22.71%,-38.98%,-,-33.98%,-13.83%,-0.88%,-,-
