Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30,2013-08-31,2013-05-31,+66 Quarters
Market Capitalization,"14,891","15,857","17,566","16,458","14,468","15,349","17,637","14,365","12,656","11,542","12,680","13,313","11,646","10,083","9,852","10,409","10,638","8,945","8,919","8,799","7,814","7,929","7,817","6,166","6,538","7,039","6,396","7,237","6,503","6,199","7,027","6,540","6,898","6,488","5,722","5,360","4,536","4,505","4,871","4,437","4,319",Upgrade
Market Cap Growth,-,3.31%,-0.41%,14.57%,14.32%,32.98%,39.09%,7.90%,8.68%,14.47%,28.70%,27.90%,9.47%,12.72%,10.46%,18.30%,36.14%,12.81%,14.10%,42.70%,19.52%,12.64%,22.21%,-14.80%,0.54%,13.55%,-8.97%,10.65%,-5.74%,-4.45%,22.81%,22.02%,52.07%,44.02%,17.47%,20.80%,5.04%,4.78%,19.12%,8.14%,-8.81%,Upgrade
Enterprise Value,"16,559","17,341","19,186","18,142","16,271","15,380","17,784","14,513","12,859","11,805","12,988","13,583","12,045","10,575","10,331","10,598","10,862","9,274","9,296","9,136","8,145","8,238","8,138","6,514","6,919","7,218","6,567","7,285","6,592","6,301","7,124","6,393","6,751","6,375","5,582","5,224","4,402","4,402","4,683","4,228","4,061",Upgrade
PE Ratio,34.02,35.42,41.23,41.47,36.76,36.60,43.44,35.95,32.65,29.74,33.35,35.70,31.02,27.52,27.18,29.51,32.23,28.62,31.74,32.95,30.31,31.91,29.83,23.88,19.06,20.44,18.52,21.36,25.33,24.67,28.66,27.13,29.45,28.91,26.59,25.34,21.90,21.56,24.23,22.34,22.01,Upgrade
PS Ratio,7.51,7.90,9.13,8.93,8.24,9.21,10.83,9.03,8.10,7.51,8.37,8.91,7.90,6.88,6.79,7.25,7.51,6.42,6.50,6.52,5.87,6.08,6.19,5.05,5.53,6.08,5.59,6.42,5.90,5.80,6.79,6.50,7.01,6.75,6.09,5.82,5.04,5.10,5.60,5.17,5.10,Upgrade
PB Ratio,9.38,9.87,11.92,12.36,11.41,12.62,16.05,14.13,12.27,11.77,13.31,14.85,14.69,14.07,14.24,15.48,16.26,14.92,16.48,16.73,14.60,12.95,12.65,11.02,12.39,14.27,12.88,13.99,11.96,11.46,12.60,12.30,12.96,12.26,11.41,10.49,8.80,8.70,8.91,8.19,7.16,Upgrade
Debt / Equity Ratio,1.22,1.22,1.42,1.67,1.86,0.69,0.78,0.85,0.85,0.90,0.93,0.98,1.11,1.20,1.22,0.85,0.88,0.96,1.06,1.09,1.07,0.94,0.93,1.03,1.09,0.74,0.73,0.58,0.55,0.55,0.54,0.07,0.07,0.07,-,-,-,-,-,-,-,Upgrade
Current Ratio,2.09,2.09,2.16,1.99,2.12,3.72,3.48,2.96,3.28,3.20,3.53,3.05,2.87,2.63,2.63,2.67,2.87,2.46,2.49,1.95,2.17,2.53,2.64,2.04,2.05,2.22,2.38,2.33,2.48,2.34,2.49,2.18,2.26,2.32,2.04,1.96,2.01,2.12,2.88,2.69,3.43,Upgrade
Dividend Yield,0.92%,0.22%,0.20%,0.21%,0.24%,0.21%,0.18%,0.22%,0.25%,0.26%,0.23%,0.23%,0.25%,0.28%,0.28%,0.27%,0.26%,0.28%,0.28%,0.28%,0.32%,0.28%,0.28%,0.36%,0.34%,0.28%,0.31%,0.28%,0.32%,0.29%,0.26%,0.28%,0.27%,0.25%,0.29%,0.31%,0.37%,0.33%,0.31%,0.35%,0.36%,Upgrade
Payout Ratio,30.40%,25.90%,24.80%,32.70%,45.20%,28.20%,28.70%,30.50%,30.80%,30.20%,28.90%,32.90%,28.80%,30.80%,29.10%,30.00%,29.90%,28.70%,29.00%,35.60%,33.00%,41.20%,31.10%,36.80%,33.70%,29.60%,29.90%,14.00%,30.50%,26.70%,30.30%,29.10%,29.70%,26.40%,29.10%,29.50%,32.00%,28.50%,28.90%,29.70%,28.90%,Upgrade
Buyback Yield / Dilution,-0.57%,-0.57%,-0.71%,-1.69%,-0.60%,-0.37%,0.14%,1.20%,-0.02%,-0.11%,-0.29%,0.34%,1.31%,0.11%,0.57%,-0.49%,0.28%,3.08%,2.20%,1.22%,0.89%,-0.37%,1.05%,3.23%,4.21%,4.42%,4.67%,3.14%,2.62%,1.82%,0.65%,0.90%,0.75%,1.86%,3.27%,4.02%,4.20%,3.03%,2.69%,2.61%,2.74%,Upgrade
Total Shareholder Return,0.34%,-0.35%,-0.51%,-1.48%,-0.36%,-0.16%,0.32%,1.42%,0.23%,0.14%,-0.05%,0.56%,1.57%,0.39%,0.85%,-0.22%,0.55%,3.36%,2.47%,1.50%,1.21%,-0.09%,1.33%,3.58%,4.54%,4.70%,4.98%,3.42%,2.94%,2.11%,0.92%,1.18%,1.02%,2.11%,3.56%,4.33%,4.57%,3.37%,3.01%,2.96%,3.10%,Upgrade
