Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Market Capitalization,"1,253",932,795,"1,217","1,416","1,908","2,309","2,935","2,761","2,945","1,606","1,569","1,593","2,137","1,764","2,570","2,927","2,487","2,419","2,993","2,666","2,613","1,813","1,618","1,425","1,231","1,466","1,354","1,396","1,567","1,318","1,696","1,293","1,156",988,326,342,"1,088"
Market Cap Growth,-,-51.13%,-65.58%,-58.53%,-48.72%,-35.21%,43.76%,87.05%,73.30%,37.83%,-8.96%,-38.96%,-45.59%,-14.07%,-27.07%,-14.13%,9.82%,-4.84%,33.42%,85.05%,87.07%,112.24%,23.68%,19.51%,2.07%,-21.44%,11.22%,-20.20%,7.98%,35.60%,33.45%,420.24%,277.68%,6.21%,-,-,-,-
Enterprise Value,543,197,116,589,725,"1,289","1,778","2,452","1,956","2,126",895,934,961,"1,372","1,136","2,013","2,393","1,958","1,972","2,596","2,218","2,220","1,444","1,240",966,814,"1,189","1,109",978,"1,212",986,"1,696","1,293",852,731,150,180,955
PE Ratio,7.92,6.66,5.12,6.75,7.77,9.29,-27.54,-36.11,-33.95,-25.85,11.75,13.31,14.16,18.04,14.20,19.75,23.71,21.18,20.33,25.11,20.69,22.66,16.95,16.04,14.84,13.20,15.68,14.61,14.98,18.99,15.45,-,-,16.03,18.96,13.70,13.85,96.74
PS Ratio,2.87,2.10,1.65,2.20,2.35,2.85,3.74,4.85,4.79,5.83,3.48,3.57,3.43,4.41,3.66,5.18,5.86,5.22,5.20,6.51,5.72,6.12,4.38,4.12,3.75,3.38,3.98,3.82,3.96,4.80,4.34,-,-,4.68,5.96,3.61,4.60,29.18
PB Ratio,0.95,0.69,0.61,0.92,1.07,1.52,1.89,2.51,2.51,2.68,1.38,1.44,1.50,2.13,1.63,2.43,2.93,2.94,2.92,3.82,3.49,3.90,2.97,2.89,2.73,2.55,3.11,3.06,3.29,4.15,3.45,-,-,3.87,4.11,1.81,2.06,8.40
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.02,0.04,0.07,0.10,0.11,0.20,0.23,0.15,0.34,0.17,0.18,0.19,0.21,0.21,-,-,0.03,-,-,-,-
Current Ratio,3.32,3.32,3.68,3.25,2.63,2.42,2.88,2.76,3.17,3.56,5.85,5.84,4.79,4.47,5.77,4.36,3.51,3.21,3.77,4.03,3.17,2.21,2.23,2.43,2.25,3.00,3.49,2.93,2.43,3.37,3.99,-,-,3.28,4.18,7.21,10.16,9.58
Buyback Yield / Dilution,-1.23%,-1.73%,3.25%,3.25%,3.25%,-8.27%,-0.94%,-0.94%,-0.94%,-1.44%,-1.97%,-1.97%,-1.97%,-4.41%,-5.24%,-5.24%,-6.99%,-3.58%,-1.66%,-1.66%,-0.57%,-0.45%,-0.57%,-0.57%,-0.06%,-0.23%,-0.06%,-0.06%,-1.47%,-0.76%,-2.09%,-1.10%,0.89%,-67.25%,-147.10%,-280.91%,-304.27%,-
Total Shareholder Return,-1.23%,-1.73%,3.25%,3.25%,3.25%,-8.27%,-0.94%,-0.94%,-0.94%,-1.44%,-1.97%,-1.97%,-1.97%,-4.41%,-5.24%,-5.24%,-6.99%,-3.58%,-1.66%,-1.66%,-0.57%,-0.45%,-0.57%,-0.57%,-0.06%,-0.23%,-0.06%,-0.06%,-1.47%,-0.76%,-2.09%,-1.10%,0.89%,-67.25%,-147.10%,-280.91%,-304.27%,-
