Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Market Capitalization,423,445,384,394,408,527,478,427,384,394,-,-,-,-
Market Cap Growth,-,-15.64%,-19.62%,-7.90%,6.31%,33.70%,-,-,-,-,-,-,-,-
Enterprise Value,"1,022","1,044",984,919,980,997,887,687,586,554,239,180,184,167
PE Ratio,378.66,378.66,-12.65,14.95,6.23,5.38,3.61,4.92,5.32,7.26,-,-,-,-
PS Ratio,2.73,2.87,2.64,3.08,3.68,5.45,5.82,5.78,5.84,6.57,-,-,-,-
PB Ratio,0.90,0.95,0.84,0.82,0.89,1.24,1.07,1.07,1.01,1.09,-,-,-,-
Debt / Equity Ratio,1.29,1.29,1.33,1.16,1.28,1.18,1.02,0.75,0.62,0.58,1.26,0.98,0.97,1.10
Dividend Yield,19.08%,-,-,5.57%,4.33%,3.21%,2.30%,2.32%,2.00%,1.67%,-,-,-,-
Payout Ratio,11700.00%,0.00%,0.00%,-166.70%,-228.00%,-166.70%,17.40%,32.40%,31.20%,25.90%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-25.91%,-25.91%,-27.31%,-21.90%,-16.91%,-30.62%,-67.34%,-65.00%,-46.49%,-32.17%,-182704470.00%,-,-,-
Total Shareholder Return,-6.80%,-25.91%,-27.31%,-16.32%,-12.58%,-27.41%,-65.04%,-62.68%,-44.49%,-30.50%,-182704470.00%,-,-,-
