Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,228,235,331,324,304,320,363,332,282,265,191,131,148,174,206,187,169,157,155,167,-,-,-
Market Cap Growth,-,-26.41%,-8.93%,-2.24%,7.97%,20.58%,90.66%,153.67%,90.34%,52.85%,-7.32%,-30.06%,-12.35%,10.34%,33.07%,11.65%,-,-,-,-,-,-,-
Enterprise Value,129,139,370,321,87,40,214,42,7,-19,80,-35,-9,43,138,183,144,137,143,170,-39,-,-22
PE Ratio,5.57,5.70,7.92,7.54,7.06,7.77,9.09,8.40,7.66,8.33,7.38,6.17,8.57,10.52,12.17,12.21,12.08,12.02,12.10,19.38,-,-,-
PS Ratio,1.39,1.46,2.03,1.94,1.81,1.92,2.22,2.05,1.83,1.90,1.55,1.21,1.54,1.90,2.30,2.26,2.20,2.17,2.15,2.44,-,-,-
PB Ratio,0.96,1.00,1.48,1.52,1.47,1.59,1.84,1.75,1.59,1.59,1.20,0.88,1.04,1.28,1.54,1.46,1.37,1.33,1.35,1.57,-,-,-
Debt / Equity Ratio,0.19,0.19,0.53,0.16,0.16,0.17,0.17,0.18,0.19,0.20,0.23,0.27,0.30,0.33,0.36,0.40,0.44,0.16,0.20,0.41,0.34,-,0.38
Dividend Yield,1.48%,0.36%,0.26%,0.27%,0.24%,0.22%,0.19%,0.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,7.80%,8.70%,9.40%,7.60%,6.10%,6.80%,6.80%,6.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.46%,0.46%,-3.36%,-1.03%,-0.99%,-3.16%,-2.11%,-3.15%,-2.57%,1.25%,2.86%,1.37%,0.69%,-1.43%,-2.61%,-15.56%,-16.00%,-15.97%,-19.07%,-5.34%,-,-,-
Total Shareholder Return,1.96%,0.83%,-3.09%,-0.76%,-0.76%,-2.94%,-1.92%,-2.93%,-2.57%,1.25%,2.86%,1.37%,0.69%,-1.43%,-2.61%,-15.56%,-16.00%,-15.97%,-19.07%,-5.34%,-,-,-
