Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Market Capitalization,570,736,907,839,962,"1,094","1,297",927,807,706,641,393,634,650,941,906,852,592,553,"1,561",-,-,-,-,-,-
Market Cap Growth,-,-32.71%,-30.08%,-9.52%,19.14%,54.91%,102.40%,136.25%,27.27%,8.71%,-31.96%,-56.68%,-25.53%,9.77%,70.32%,-41.98%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,411","1,577","1,815","1,811","1,728","2,086","2,092","1,693","1,567","1,646","1,599","1,338","1,589","1,708","2,147","2,067","2,004","1,690","1,751","2,914","1,259",-,"1,138",-,-,964
PE Ratio,8.43,10.90,14.32,7.67,9.11,9.61,11.48,16.58,19.88,75.50,-372.01,119.67,46.94,15.60,18.34,17.33,16.41,11.96,12.06,38.82,-,-,-,-,-,-
PS Ratio,1.72,2.23,2.83,2.25,2.67,3.04,3.79,3.53,3.36,3.78,3.67,2.16,3.14,2.56,3.44,3.28,3.10,2.16,2.03,5.48,-,-,-,-,-,-
PB Ratio,0.78,1.01,1.28,1.20,1.35,1.45,1.55,1.14,1.01,0.90,0.82,0.47,0.76,0.77,1.13,1.10,1.06,0.76,0.74,2.15,-,-,-,-,-,-
Debt / Equity Ratio,1.81,1.81,1.69,1.83,1.57,1.68,1.28,1.14,1.16,1.49,1.50,1.41,1.41,1.58,1.59,1.53,1.54,1.53,1.72,2.00,1.91,-,1.71,-,-,1.56
Dividend Yield,2.14%,0.41%,0.34%,0.36%,0.32%,0.28%,0.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,17.90%,15.00%,16.10%,14.50%,39.10%,20.50%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,2.32%,2.32%,10.00%,9.88%,9.42%,8.94%,10.96%,11.10%,10.47%,9.90%,2.46%,2.42%,2.40%,0.65%,-1.69%,-1.68%,-1.69%,-0.00%,-0.00%,-,-,-,-,-,-,-
Total Shareholder Return,4.45%,2.73%,10.33%,10.25%,9.74%,9.22%,11.13%,11.10%,10.47%,9.90%,2.46%,2.42%,2.40%,0.65%,-1.69%,-1.68%,-1.69%,-0.00%,-0.00%,-,-,-,-,-,-,-
