Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+44 Quarters
Market Capitalization,"14,900","17,345","20,147","18,753","17,522","20,861","20,782","20,341","19,399","19,848","15,482","11,071","10,672","8,588","16,553","15,785","15,138","14,401","13,833","20,230","19,970","20,857","20,044","18,201","17,598","17,512","17,677","12,389","10,780","10,109","12,532","11,937","13,886","12,690","14,536","13,840","14,645","15,771","13,624","12,926","13,469",Upgrade
Market Cap Growth,-,-16.85%,-3.06%,-7.81%,-9.68%,5.11%,34.23%,83.74%,81.78%,131.12%,-6.47%,-29.86%,-29.50%,-40.37%,19.66%,-21.97%,-24.20%,-30.96%,-30.99%,11.15%,13.48%,19.10%,13.39%,46.92%,63.25%,73.23%,41.05%,3.78%,-22.37%,-20.34%,-13.78%,-13.75%,-5.18%,-19.53%,6.69%,7.08%,8.73%,36.24%,35.23%,27.11%,41.28%,Upgrade
Enterprise Value,"10,374","12,819","11,204","5,361",-659,"-4,741","-6,222","-4,715","-3,325","-2,156","1,095","2,517","3,882","16,588","22,368","25,247","24,113","25,151","24,319","31,163","26,974","25,621","24,695","21,142","20,832","19,148","19,989","14,205","15,513","13,570","15,577","14,293","15,579","11,957","16,247","14,763","15,468","16,782","15,363","15,678","17,922",Upgrade
PE Ratio,6.79,7.85,9.39,9.87,8.27,9.03,8.66,7.90,7.92,13.54,15.62,14.40,16.34,6.79,11.01,10.34,8.96,8.60,8.16,12.46,14.57,15.90,16.72,15.70,15.07,15.54,16.08,11.38,10.50,9.75,12.56,12.85,14.07,12.62,13.27,12.78,13.71,15.18,12.87,11.42,11.73,Upgrade
PS Ratio,2.09,2.43,2.90,2.85,2.65,3.05,2.99,2.84,2.80,3.50,3.12,2.40,2.38,1.67,3.02,2.91,2.79,2.64,2.50,3.59,3.59,3.78,3.75,3.59,3.40,3.40,3.43,2.36,2.11,1.96,2.44,2.32,2.69,2.50,2.84,2.67,2.82,3.03,2.61,2.50,2.59,Upgrade
PB Ratio,0.88,1.03,1.26,1.24,1.06,1.23,1.13,1.09,1.06,1.11,0.86,0.62,0.61,0.50,1.02,0.95,0.91,0.93,0.92,1.37,1.27,1.32,1.24,1.10,1.04,1.05,1.06,0.71,0.62,0.59,0.74,0.70,0.82,0.74,0.86,0.81,0.86,0.98,0.86,0.83,0.88,Upgrade
Debt / Equity Ratio,0.26,0.26,0.14,0.15,0.14,0.14,0.13,0.13,0.16,0.16,0.20,0.27,0.36,0.76,0.61,0.88,0.81,0.94,0.93,0.98,0.72,0.50,0.53,0.40,0.44,0.36,0.47,0.35,0.52,0.46,0.50,0.43,0.32,0.31,0.34,0.33,0.33,0.38,0.44,0.43,0.57,Upgrade
Dividend Yield,4.85%,1.09%,0.94%,1.00%,0.91%,0.77%,0.78%,0.80%,0.77%,0.76%,0.97%,1.35%,1.39%,1.73%,0.90%,0.97%,0.94%,1.00%,1.06%,0.76%,0.51%,0.49%,0.52%,0.59%,0.48%,0.45%,0.45%,0.66%,0.76%,0.77%,0.63%,0.67%,0.58%,0.54%,0.47%,0.50%,0.47%,0.26%,0.31%,0.33%,0.32%,Upgrade
Payout Ratio,32.60%,31.70%,28.60%,46.50%,28.30%,30.40%,38.60%,26.20%,19.90%,24.20%,25.40%,29.80%,-62.00%,103.30%,40.80%,39.70%,37.80%,37.80%,37.80%,28.00%,28.10%,25.70%,33.30%,36.00%,28.00%,27.10%,29.50%,27.10%,32.50%,30.00%,30.00%,33.30%,30.00%,31.20%,33.30%,22.70%,23.80%,13.60%,21.40%,14.30%,16.70%,Upgrade
Buyback Yield / Dilution,0.53%,0.53%,1.57%,2.29%,2.59%,2.17%,0.83%,0.52%,-0.52%,-0.73%,0.10%,2.93%,5.14%,6.52%,7.56%,9.50%,10.28%,9.90%,10.30%,8.21%,6.93%,6.78%,5.59%,4.71%,4.42%,5.19%,5.59%,5.58%,5.79%,4.93%,5.15%,4.54%,3.17%,2.30%,1.22%,1.14%,1.97%,2.32%,1.97%,1.26%,0.92%,Upgrade
Total Shareholder Return,5.38%,1.61%,2.50%,3.29%,3.50%,2.94%,1.61%,1.32%,0.25%,0.03%,1.07%,4.27%,6.53%,8.25%,8.46%,10.47%,11.22%,10.90%,11.36%,8.97%,7.44%,7.27%,6.11%,5.30%,4.90%,5.64%,6.04%,6.24%,6.56%,5.70%,5.78%,5.20%,3.75%,2.84%,1.69%,1.64%,2.45%,2.58%,2.27%,1.59%,1.24%,Upgrade
