Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,408,406,393,382,383,384,396,409,452,397,391,346,334,173,226,221,220,217,211,221,217,189,-,-,-,-,-
Market Cap Growth,-,5.70%,-0.68%,-6.76%,-15.12%,-3.19%,1.15%,18.12%,35.13%,130.05%,72.90%,56.88%,51.99%,-20.63%,7.14%,-0.10%,1.29%,14.84%,-,-,-,-,-,-,-,-,-
Enterprise Value,222,249,271,135,170,209,154,409,272,289,258,34,16,173,34,223,222,219,-31,222,218,190,0,-,-,-,0
PE Ratio,4.68,4.06,4.60,5.31,5.53,6.90,9.06,9.96,13.10,9.53,14.37,12.21,14.43,7.83,9.61,3.57,3.78,4.90,4.84,27.57,28.88,26.82,-,-,-,-,-
PS Ratio,0.93,1.00,1.05,1.03,1.05,1.08,1.15,1.23,1.43,1.34,1.38,1.29,1.35,0.61,1.05,0.44,0.49,0.63,0.61,1.51,1.48,1.29,-,-,-,-,-
PB Ratio,0.88,0.94,0.96,0.95,0.97,0.98,0.99,-,1.16,1.00,1.03,0.91,0.91,-,0.73,44.16,43.99,43.47,0.53,44.20,43.43,37.85,-,-,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37,0.34,0.34,-,0.34,0.34,0.39,35.45,-,-,-,7.57
Current Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,0.74,1.05,1.26,2.48,1.53,3.39,2.41,0.08,-,-,-,0.15
Dividend Yield,0.58%,-,0.13%,0.13%,2.56%,-,-,1.91%,1.83%,-,-,1.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,10.60%,0.00%,1.90%,2.60%,44.40%,0.00%,0.00%,51.60%,100.00%,0.00%,0.00%,45.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-
Buyback Yield / Dilution,-0.22%,-0.22%,-0.56%,-0.83%,-1.20%,-0.63%,-0.90%,-0.90%,-0.26%,-125.27%,-751.30%,-754.79%,-756.14%,-281.75%,-11.48%,-0.69%,-0.74%,-26.69%,-36.13%,-30.53%,-30.26%,-3.38%,-,-,-,-,-
Total Shareholder Return,0.40%,-0.22%,-0.44%,-0.70%,1.36%,-0.63%,-0.90%,1.01%,1.57%,-125.27%,-751.30%,-753.53%,-756.14%,-281.75%,-11.48%,-0.69%,-0.74%,-26.69%,-36.13%,-30.53%,-30.26%,-3.38%,-,-,-,-,-
