Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30
Market Capitalization,347,461,490,401,324,372,397,377,778
Market Cap Growth,-,23.82%,23.22%,6.40%,-58.29%,-,-,-,-
Enterprise Value,323,437,448,357,278,323,352,324,715
PE Ratio,-60.74,-60.74,-54.09,-35.68,-45.49,-99.15,-85.77,-175.93,100.29
PS Ratio,15.55,20.63,17.39,12.27,11.03,16.16,21.80,18.67,26.42
PB Ratio,10.57,14.03,12.62,9.14,6.59,6.89,7.67,6.97,13.41
Debt / Equity Ratio,0.12,0.12,0.14,0.14,0.10,0.06,0.06,0.04,-
Current Ratio,4.14,4.14,2.36,2.46,3.10,6.11,8.28,6.60,6.16
Buyback Yield / Dilution,-,-,-,-6.44%,-9.56%,-13.09%,-13.09%,-,
Total Shareholder Return,-,-,-,-6.44%,-9.56%,-13.09%,-13.09%,-,
