Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"4,409","5,113","5,342","5,375","6,524","7,554","8,835","7,247","9,219","10,225","10,534","10,849",-,-,-
Market Cap Growth,-,-32.31%,-39.54%,-25.83%,-29.23%,-26.12%,-16.13%,-33.21%,-,-,-,-,-,-,-
Enterprise Value,"7,997","8,495","8,719","8,756","10,027","11,060","12,403","10,584","12,616","13,628","13,462","13,820","3,846",-,"3,802"
PE Ratio,-1087.96,-1087.96,-2322.64,-146.45,-232.18,-96.85,-123.22,-124.30,-101.09,-41.31,-58.33,-24.34,-,-,-
PS Ratio,2.07,2.29,2.40,2.41,2.95,3.44,4.08,3.54,4.73,5.53,6.06,6.32,-,-,-
PB Ratio,1.34,1.48,1.53,1.53,1.82,2.07,2.40,2.02,2.57,2.83,2.99,3.01,-,-,-
Debt / Equity Ratio,1.04,1.04,1.02,1.02,1.04,1.02,1.02,1.00,1.00,0.99,0.93,0.91,2.96,-,2.57
Current Ratio,0.62,0.62,0.64,0.71,0.79,0.75,0.71,0.71,0.64,0.68,1.06,0.92,0.20,-,0.38
Dividend Yield,1.50%,-,0.40%,0.40%,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,-1000.00%,0.00%,100.00%,250.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.19%,-0.19%,-0.16%,-0.16%,-0.05%,-0.07%,-1.37%,-3.13%,-36.38%,-36.25%,-34.47%,-32.18%,-,-,-
Total Shareholder Return,1.31%,-0.19%,0.24%,0.24%,-0.05%,-0.07%,-1.37%,-3.13%,-36.38%,-36.25%,-34.47%,-32.18%,-,-,-
