Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Market Capitalization,431,544,707,692,610,559,521,492,487,516,427,329,392,336,604,-,-
Market Cap Growth,-,-2.76%,35.51%,40.68%,25.19%,8.32%,22.24%,49.75%,24.21%,53.65%,-29.36%,-,-,-,-,-,-
Enterprise Value,552,665,"1,342",822,407,317,323,-148,-9,62,441,-360,392,336,619,-,12
PE Ratio,4.94,6.13,8.67,9.53,9.52,10.18,9.85,9.68,9.98,10.57,9.24,7.40,8.70,-,12.79,-,-
PS Ratio,1.64,2.07,2.84,2.91,2.74,2.70,2.57,2.48,2.43,2.59,2.18,1.69,2.07,-,3.15,-,-
PB Ratio,0.83,1.05,1.39,1.42,1.23,1.06,0.93,0.88,0.89,0.96,0.80,0.63,-,-,1.23,-,-
Debt / Equity Ratio,0.49,0.49,1.37,0.40,0.26,0.25,0.23,0.09,0.09,0.09,0.10,0.11,-,-,0.28,-,0.21
Dividend Yield,2.84%,0.57%,0.43%,0.44%,0.40%,0.45%,0.48%,0.51%,0.51%,0.48%,0.58%,0.76%,0.63%,0.74%,0.41%,-,-
Payout Ratio,13.20%,14.50%,12.50%,13.30%,12.50%,17.40%,15.70%,17.40%,24.20%,20.50%,18.20%,20.00%,24.20%,26.70%,21.10%,14.60%,-
Buyback Yield / Dilution,1.22%,1.22%,1.37%,1.31%,1.07%,0.00%,-0.15%,-0.15%,-0.45%,-0.21%,-,-,-,-,-,-,-
Total Shareholder Return,4.06%,1.78%,1.80%,1.75%,1.48%,0.45%,0.33%,0.36%,0.07%,0.27%,0.58%,0.76%,0.63%,0.74%,0.41%,-,-
