Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Market Capitalization,395,430,547,500,517,598,701,535,449,395,370,338,366,300,447,-,-,-,-,-,-
Market Cap Growth,-,-28.13%,-21.91%,-6.53%,15.17%,51.42%,89.36%,58.14%,22.75%,31.75%,-17.18%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,555,589,752,705,679,563,770,592,346,312,341,323,245,187,246,-198,-,-,-134,-,29
PE Ratio,6.80,7.30,8.74,7.15,7.40,8.77,11.36,9.96,9.72,9.98,10.17,8.99,9.02,6.54,10.00,-,-,-,-,-,-
PS Ratio,2.91,3.17,3.87,3.42,3.57,4.24,5.35,4.53,4.26,4.18,4.12,3.73,3.85,2.93,4.43,-,-,-,-,-,-
PB Ratio,1.12,1.22,1.57,1.43,1.60,1.93,2.42,1.94,1.70,1.55,1.51,1.43,1.60,1.34,2.06,-,-,-,-,-,-
Debt / Equity Ratio,1.09,1.09,1.10,1.10,1.19,1.26,1.76,1.13,0.80,0.36,0.50,0.47,0.41,0.43,0.35,0.39,-,-,0.03,-,0.93
Dividend Yield,4.20%,1.05%,0.69%,0.76%,0.74%,0.64%,0.51%,0.57%,0.57%,0.65%,0.62%,0.68%,0.77%,0.94%,0.63%,-,-,-,-,-,-
Payout Ratio,27.20%,28.60%,37.50%,22.70%,23.80%,19.70%,20.60%,18.20%,17.90%,19.60%,24.30%,24.30%,36.70%,28.90%,26.20%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,1.26%,1.26%,0.61%,0.20%,0.71%,0.82%,0.81%,0.68%,-0.46%,-0.57%,-0.56%,-1.46%,-0.89%,-0.89%,-0.89%,-,-,-,-,-,-
Total Shareholder Return,5.47%,2.32%,1.31%,0.97%,1.45%,1.45%,1.32%,1.25%,0.11%,0.08%,0.06%,-0.77%,-0.12%,0.05%,-0.26%,-,-,-,-,-,-
