Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+35 Quarters
Market Capitalization,744,746,746,649,684,841,823,844,891,895,693,556,625,449,"1,162","1,091","1,088","1,048",875,"1,169","1,205","1,130","1,236","1,342","1,404","1,441","1,288","1,305","1,253","1,255","1,218","1,295","1,676","1,817","1,757","1,934","2,038","1,868","1,905","1,832","1,739",Upgrade
Market Cap Growth,-,-11.32%,-9.35%,-23.08%,-23.20%,-6.02%,18.71%,51.73%,42.63%,99.33%,-40.32%,-49.01%,-42.57%,-57.12%,32.86%,-6.70%,-9.74%,-7.32%,-29.27%,-12.91%,-14.17%,-21.58%,-4.00%,2.85%,12.05%,14.82%,5.71%,0.78%,-25.25%,-30.92%,-30.64%,-33.05%,-17.77%,-2.71%,-7.77%,5.59%,17.18%,10.11%,12.29%,14.58%,11.78%,Upgrade
Enterprise Value,"2,148","2,147","2,145","2,093","2,247","2,362","2,388","2,418","2,338","2,311","2,173","2,131","2,344","2,206","2,911","2,643","2,408","2,140","1,846","2,098","2,296","1,906","2,099","2,176","2,295","2,280","2,264","2,254","2,294","2,552","2,593","2,654","3,057","3,312","3,334","3,502","3,599","3,226","3,153","2,910","2,850",Upgrade
PE Ratio,6.80,6.89,9.06,17.20,14.49,11.42,7.36,6.34,6.32,8.00,-8.91,-5.03,-4.56,-3.87,18.43,17.72,13.18,14.56,14.40,17.26,16.85,12.99,16.61,16.80,15.73,78.45,-98.47,-26.03,-13.47,-28.19,-37.08,-48.79,97.59,24.09,11.19,6.85,6.44,6.90,7.14,13.25,12.89,Upgrade
PS Ratio,3.30,3.30,3.50,2.83,3.06,3.81,3.80,4.05,4.23,4.13,2.92,2.21,2.34,1.62,4.36,4.16,4.22,4.11,3.43,4.57,4.70,4.36,4.68,5.02,5.20,5.15,4.31,4.01,3.53,3.31,3.07,3.14,3.87,4.19,4.11,4.69,5.26,4.90,5.15,5.11,4.99,Upgrade
PB Ratio,0.75,0.75,0.76,0.64,0.69,0.84,0.80,0.81,0.85,0.86,0.68,0.55,0.63,0.44,0.96,0.87,0.84,0.80,0.66,0.85,0.87,0.80,0.86,0.91,0.95,0.97,0.86,0.85,0.81,0.76,0.71,0.71,0.88,0.94,0.88,0.94,0.99,0.91,0.99,0.98,0.95,Upgrade
Debt / Equity Ratio,1.48,1.48,1.50,1.49,1.62,1.54,1.55,1.54,1.43,1.41,1.49,1.59,1.76,1.75,1.47,1.26,1.05,0.86,0.76,0.69,0.79,0.56,0.61,0.59,0.62,0.57,0.69,0.66,0.71,0.80,0.80,0.75,0.73,0.77,0.80,0.76,0.76,0.67,0.66,0.58,0.61,Upgrade
Dividend Yield,12.59%,3.33%,3.25%,3.13%,3.34%,2.72%,2.81%,2.78%,2.64%,2.62%,3.39%,4.35%,4.70%,6.67%,2.58%,2.80%,2.85%,2.97%,3.63%,2.76%,2.69%,2.87%,2.65%,2.45%,2.35%,2.29%,2.56%,2.59%,3.61%,3.60%,3.83%,3.66%,2.82%,2.61%,2.70%,2.45%,2.32%,2.41%,2.36%,2.45%,2.58%,Upgrade
Payout Ratio,85.60%,82.60%,42.50%,128.00%,400.00%,514.30%,200.00%,92.30%,73.50%,55.40%,70.60%,70.60%,900.00%,-20.50%,-,450.00%,128.60%,97.80%,-2250.00%,115.40%,250.00%,160.70%,562.50%,107.10%,115.40%,450.00%,300.00%,83.30%,-105.30%,-200.00%,-181.80%,-2000.00%,666.70%,-500.00%,-222.20%,111.10%,74.10%,64.50%,42.60%,58.80%,222.20%,Upgrade
Buyback Yield / Dilution,-2.83%,-2.83%,-1.70%,2.38%,2.67%,2.47%,1.39%,3.26%,-,1.93%,1.93%,0.79%,5.19%,3.82%,5.64%,5.36%,4.54%,4.14%,3.14%,2.18%,1.54%,1.44%,0.61%,2.37%,2.86%,2.86%,5.84%,4.95%,4.47%,4.47%,1.41%,-,-,-5.34%,-5.34%,-5.34%,-5.34%,-10.77%,-10.77%,-10.77%,-10.77%,Upgrade
Total Shareholder Return,9.75%,0.50%,1.54%,5.51%,6.01%,5.19%,4.20%,6.03%,2.64%,4.56%,5.32%,5.14%,9.89%,10.49%,8.22%,8.16%,7.39%,7.11%,6.77%,4.94%,4.23%,4.32%,3.26%,4.82%,5.20%,5.14%,8.40%,7.54%,8.08%,8.07%,5.24%,3.66%,2.82%,-2.73%,-2.64%,-2.89%,-3.02%,-8.36%,-8.41%,-8.32%,-8.19%,Upgrade
