Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Market Capitalization,51,51,52,61,75,71,78,75,78,66,50,48,34,91,91,104,100,85,117,122,112,112,128,137,139,127,124,121,115,137,140,186,181,150,181,199,213,-,-,-
Market Cap Growth,-,-28.77%,-34.23%,-18.86%,-4.53%,7.56%,55.42%,55.13%,131.09%,-27.48%,-44.34%,-53.24%,-66.32%,7.06%,-22.81%,-14.95%,-10.51%,-23.58%,-8.29%,-10.98%,-19.19%,-12.35%,2.81%,12.68%,20.92%,-7.08%,-11.05%,-34.69%,-36.60%,-8.88%,-22.48%,-6.52%,-14.95%,-,-,-,-,-,-,-
Enterprise Value,185,184,197,199,237,213,226,228,208,214,202,210,185,237,254,243,228,207,259,231,226,222,225,205,232,188,211,216,222,255,263,310,290,259,274,253,236,69,-,34
PE Ratio,-27.04,-27.04,53.84,23.58,-14.30,-48.85,-42.84,-32.49,11.01,-3.18,-2.41,-1.96,-1.23,-20.16,-5.37,-7.13,-17.41,-263.47,8.44,7.80,6.68,5.96,5.71,5.81,6.08,6.79,-23.90,-13.00,-13.25,-10.98,12.71,12.05,11.57,6.46,9.89,12.30,13.89,-,-,-
PS Ratio,2.07,2.04,2.13,2.50,2.96,2.81,2.99,2.82,2.82,2.17,1.53,1.41,0.97,2.62,2.61,3.01,2.33,1.98,2.77,2.99,3.62,3.79,4.25,4.41,4.39,3.92,3.74,3.41,2.93,3.45,3.60,5.04,5.66,5.15,7.17,9.41,11.99,-,-,-
PB Ratio,0.56,0.55,0.55,0.65,0.75,0.70,0.78,0.78,0.71,0.61,0.47,0.45,0.30,0.65,0.65,0.72,0.66,0.55,0.69,0.71,0.65,0.65,0.75,0.81,0.82,0.77,0.77,0.75,0.70,0.82,0.75,0.94,0.92,0.74,0.90,0.99,1.07,-,-,-
Debt / Equity Ratio,1.55,1.55,1.64,1.57,1.71,1.74,1.63,1.72,1.96,1.43,1.53,1.69,1.62,1.23,1.25,1.16,0.91,0.86,0.86,0.69,0.72,0.69,0.75,0.60,0.69,0.70,0.71,0.80,0.85,0.87,0.80,0.75,0.65,0.69,0.62,0.43,0.56,0.55,-,0.88
Dividend Yield,16.90%,4.26%,4.19%,3.54%,2.89%,3.03%,2.69%,2.78%,3.20%,3.78%,4.96%,5.16%,10.19%,3.74%,3.76%,3.29%,3.39%,4.00%,2.91%,2.87%,3.05%,3.07%,2.67%,2.50%,2.46%,3.78%,3.87%,3.96%,4.19%,3.46%,7.59%,2.55%,2.62%,3.07%,2.56%,2.32%,1.16%,-,-,-
Payout Ratio,-461.50%,375.00%,125.00%,-51.70%,-,62.50%,65.20%,-17.40%,66.70%,81.80%,90.00%,-105.90%,-14.20%,113.60%,-357.10%,-64.10%,-250.00%,-36.20%,250.00%,100.00%,83.30%,71.40%,108.70%,73.50%,56.80%,56.80%,113.50%,117.30%,251.40%,-30.70%,7770.00%,102.10%,-247.90%,57.30%,99.40%,93.90%,120.70%,-,-,-
Buyback Yield / Dilution,-0.03%,-0.03%,-2.28%,-3.33%,-3.38%,-3.44%,-1.24%,-0.28%,-0.89%,-1.74%,-1.97%,-1.94%,-1.31%,-0.21%,0.18%,2.63%,0.57%,0.38%,0.29%,-2.18%,-0.02%,-0.03%,-0.07%,-0.07%,-0.08%,-0.11%,-0.09%,-0.09%,-0.08%,-0.03%,-0.01%,-0.00%,-,-,-,-,-,-,-,-
Total Shareholder Return,16.78%,4.23%,1.91%,0.20%,-0.49%,-0.41%,1.45%,2.50%,2.31%,2.05%,2.99%,3.22%,8.88%,3.53%,3.94%,5.92%,3.96%,4.38%,3.20%,0.69%,3.03%,3.04%,2.61%,2.43%,2.38%,3.67%,3.78%,3.87%,4.11%,3.43%,7.58%,2.55%,2.62%,3.07%,2.56%,2.32%,1.16%,-,-,-
