Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+54 Quarters
Market Capitalization,734,"1,147","2,704","2,662","3,131","5,060","5,297","5,312","4,812","4,456","2,966","1,994","2,296","2,094","4,524","4,296","4,614","4,543","4,053","5,834","6,184","6,230","6,498","6,064","5,598","6,384","6,548","5,167","4,782","4,466","5,181","4,369","4,763","4,779","4,633","4,202","4,399","1,922","1,871","1,519","1,099",Upgrade
Market Cap Growth,-,-77.32%,-48.95%,-49.89%,-34.93%,13.55%,78.56%,166.39%,109.61%,112.80%,-34.43%,-53.58%,-50.25%,-53.91%,11.63%,-26.37%,-25.38%,-27.07%,-37.64%,-3.79%,10.47%,-2.42%,-0.76%,17.36%,17.07%,42.96%,26.39%,18.26%,0.40%,-6.55%,11.82%,3.99%,8.26%,148.62%,147.61%,176.66%,300.19%,84.09%,111.58%,82.05%,30.17%,Upgrade
Enterprise Value,"6,805","7,218","3,095","2,929","3,197","4,844","2,103","2,475",-177,-753,276,-436,895,"4,236","6,104","5,269","6,376","5,922","5,492","7,418","7,372","6,709","7,030","6,492","5,974","6,991","7,475","5,609","5,694","4,936","5,842","5,121","4,559","5,436","5,137","4,738","4,476","1,719","1,970","1,516","1,023",Upgrade
PE Ratio,-1.25,-1.25,6.69,5.32,6.04,8.77,8.73,9.04,9.76,12.88,-2.40,-1.61,-1.96,-1.94,9.65,9.22,9.78,9.88,8.71,13.43,14.74,15.68,18.16,16.87,15.91,18.76,18.59,15.27,15.23,14.09,17.29,14.62,16.34,22.03,27.43,41.60,69.94,33.90,41.47,24.54,20.43,Upgrade
PS Ratio,0.55,0.87,2.02,1.89,2.26,3.53,3.63,3.84,3.91,4.42,3.61,2.48,2.58,2.05,3.99,3.74,4.00,4.00,3.54,5.10,5.54,5.67,6.19,5.94,5.51,6.44,6.50,5.18,5.07,4.87,6.01,5.30,5.77,5.94,6.69,7.42,9.62,5.79,6.11,5.00,3.78,Upgrade
PB Ratio,0.26,0.41,0.68,0.69,0.79,1.39,1.32,1.36,1.25,1.22,0.83,0.57,0.67,0.62,0.91,0.87,0.95,0.95,0.84,1.23,1.29,1.28,1.31,1.32,1.23,1.42,1.46,1.14,1.06,1.00,1.18,1.22,1.34,1.35,1.32,1.21,1.28,2.31,2.31,1.86,1.37,Upgrade
Debt / Equity Ratio,4.60,4.60,0.67,0.70,0.62,0.51,0.22,0.22,0.23,0.13,0.13,0.15,0.15,0.81,0.45,0.35,0.49,0.40,0.38,0.41,0.34,0.21,0.19,0.15,0.15,0.20,0.30,0.22,0.30,0.22,0.24,0.28,0.12,0.30,0.23,0.23,0.13,0.17,0.30,0.17,0.18,Upgrade
Dividend Yield,16.63%,2.57%,1.09%,1.11%,0.94%,0.58%,0.55%,0.55%,0.61%,0.66%,0.98%,1.46%,1.27%,3.35%,1.57%,1.65%,1.55%,1.60%,1.80%,1.26%,1.21%,1.01%,0.99%,0.99%,1.07%,0.94%,0.92%,1.17%,1.26%,1.35%,1.16%,1.17%,1.07%,1.07%,1.10%,0.61%,0.58%,0.58%,0.59%,0.73%,0.82%,Upgrade
Payout Ratio,-12.70%,-2.40%,75.80%,24.50%,24.50%,24.80%,21.90%,21.40%,16.40%,19.70%,25.30%,65.80%,89.30%,-4.90%,60.60%,65.20%,56.10%,65.20%,64.50%,63.80%,65.20%,53.80%,76.90%,59.50%,64.90%,76.90%,70.40%,64.90%,73.50%,67.60%,86.20%,73.50%,60.20%,70.40%,67.60%,41.70%,250.00%,45.50%,500.00%,47.20%,227.30%,Upgrade
Buyback Yield / Dilution,-0.52%,-0.52%,-0.47%,-0.48%,-0.45%,-0.44%,-0.41%,-0.40%,-0.37%,0.04%,1.21%,1.23%,1.98%,3.26%,2.92%,3.45%,5.03%,3.96%,5.56%,-1.98%,-4.39%,-4.93%,-7.20%,0.30%,0.28%,0.28%,-0.07%,-17.98%,-18.02%,-17.95%,-17.95%,-0.15%,0.05%,-128.04%,-129.96%,-130.09%,-184.13%,-24.60%,-24.13%,-24.07%,-0.53%,Upgrade
Total Shareholder Return,16.11%,2.05%,0.62%,0.63%,0.48%,0.14%,0.15%,0.15%,0.23%,0.70%,2.19%,2.70%,3.25%,6.61%,4.49%,5.10%,6.58%,5.55%,7.36%,-0.72%,-3.18%,-3.92%,-6.20%,1.29%,1.35%,1.22%,0.85%,-16.81%,-16.76%,-16.61%,-16.79%,1.02%,1.12%,-126.98%,-128.86%,-129.48%,-183.55%,-24.02%,-23.54%,-23.34%,0.29%,Upgrade
