Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Market Capitalization,59,64,68,67,70,93,90,-,-,-,-,-,-,-
Market Cap Growth,-,-31.18%,-25.39%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,-33,-31,39,70,55,-16,63,51,352,-,840,-,-,-86
PE Ratio,-139.90,-139.90,-57.17,216.50,23.53,5.70,3.83,-,-,-,-,-,-,-
PS Ratio,0.80,0.84,1.09,0.94,1.10,1.03,1.46,-,-,-,-,-,-,-
PB Ratio,0.68,0.71,0.74,0.74,0.75,0.98,0.94,-,-,-,-,-,-,-
Debt / Equity Ratio,0.41,0.41,0.41,0.44,0.57,0.14,0.86,1.68,4.93,-,12.59,-,-,0.48
Dividend Yield,2.21%,-,0.48%,0.48%,0.46%,0.35%,-,-,-,-,-,-,-,-
Payout Ratio,-218.20%,0.00%,28.60%,-20.00%,-66.70%,-160.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-2.14%,-2.14%,-1.61%,-4.18%,-3.77%,-3.77%,-2.76%,-,-,-,-,-,-,-
Total Shareholder Return,0.07%,-2.14%,-1.13%,-3.70%,-3.31%,-3.42%,-2.76%,-,-,-,-,-,-,-
