Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+68 Quarters
Market Capitalization,161,199,227,180,214,209,205,220,198,181,166,128,135,157,224,219,217,202,190,279,274,251,245,260,240,218,240,175,162,161,120,120,118,119,114,112,116,101,94,81,78,Upgrade
Market Cap Growth,-,-4.62%,10.83%,-18.23%,8.36%,15.14%,23.51%,71.43%,46.58%,15.25%,-25.83%,-41.44%,-37.91%,-22.16%,17.68%,-21.66%,-20.58%,-19.44%,-22.18%,7.66%,14.26%,14.74%,2.04%,48.73%,47.75%,35.67%,99.94%,46.02%,37.09%,35.86%,4.97%,6.41%,2.35%,17.21%,22.05%,38.07%,47.59%,35.05%,39.37%,34.01%,34.35%,Upgrade
Enterprise Value,162,202,164,16,-9,-164,-275,-205,-131,-158,-81,-55,-21,53,185,200,200,234,216,338,336,317,316,407,350,330,348,265,225,295,257,215,215,211,216,200,190,162,189,146,77,Upgrade
PE Ratio,6.59,8.28,11.32,12.10,17.18,15.10,14.00,13.15,12.72,11.82,19.68,15.68,13.84,13.59,12.01,11.84,11.85,10.33,9.74,16.75,18.21,19.79,20.38,18.08,16.70,15.94,18.32,14.56,14.03,14.11,10.88,10.84,10.57,10.72,9.85,9.89,10.67,9.49,9.07,7.99,8.35,Upgrade
PS Ratio,1.72,2.15,2.61,2.24,2.84,2.79,2.74,2.91,2.71,2.55,2.69,2.07,2.10,2.34,2.97,2.95,2.97,2.73,2.55,3.76,3.81,3.62,3.66,4.01,3.75,3.52,3.96,3.02,2.87,2.93,2.25,2.26,2.29,2.35,2.34,2.36,2.49,2.23,2.10,1.85,1.82,Upgrade
PB Ratio,0.86,1.08,1.28,1.07,1.22,1.14,1.05,1.11,0.99,0.91,0.84,0.66,0.70,0.83,1.17,1.16,1.16,1.11,1.07,1.61,1.61,1.51,1.49,1.58,1.48,1.38,1.55,1.12,1.06,1.07,0.75,0.95,0.97,0.98,0.96,0.97,1.02,0.82,0.87,0.77,0.76,Upgrade
Debt / Equity Ratio,0.58,0.58,0.32,0.35,0.34,0.36,0.33,0.34,0.34,0.44,0.45,0.30,0.31,0.43,0.49,0.57,0.58,0.69,0.68,0.83,0.87,0.88,0.92,1.02,1.06,1.26,1.17,0.88,0.93,0.98,1.22,1.34,1.27,0.99,1.12,1.05,0.97,0.84,1.03,0.78,0.62,Upgrade
Dividend Yield,3.67%,0.77%,0.63%,0.80%,0.67%,0.68%,0.70%,0.58%,0.65%,0.71%,0.59%,0.76%,1.16%,0.99%,0.69%,0.69%,0.70%,0.75%,0.73%,0.50%,0.51%,0.55%,0.49%,0.44%,0.48%,0.52%,0.46%,0.59%,0.64%,0.64%,0.64%,0.64%,0.62%,0.62%,0.64%,0.61%,0.57%,0.57%,-,0.67%,0.63%,Upgrade
Payout Ratio,24.30%,21.90%,18.10%,20.00%,75.00%,46.90%,51.70%,26.50%,39.40%,32.50%,20.80%,27.00%,51.60%,-51.60%,34.80%,30.20%,32.70%,39.00%,35.20%,30.40%,23.80%,35.20%,150.00%,34.90%,31.50%,33.10%,33.50%,30.30%,34.40%,37.60%,31.00%,25.60%,25.40%,30.50%,26.20%,21.80%,23.90%,19.80%,0.00%,20.90%,19.00%,Upgrade
Buyback Yield / Dilution,-1.12%,-1.12%,-0.21%,2.17%,3.53%,3.65%,2.66%,0.36%,-1.16%,-0.79%,-0.72%,-3.98%,-3.26%,-3.22%,-8.59%,-5.22%,-5.94%,-6.11%,-0.81%,-0.79%,-0.73%,-0.68%,-0.96%,-0.92%,-0.93%,-0.83%,-35.42%,-29.09%,-29.66%,-29.90%,3.30%,-2.04%,-1.81%,-15.42%,-15.39%,-15.74%,-15.75%,-2.24%,-2.28%,-1.68%,-1.77%,Upgrade
Total Shareholder Return,2.62%,-0.35%,0.42%,2.96%,4.20%,4.33%,3.36%,0.94%,-0.51%,-0.09%,-0.13%,-3.21%,-2.10%,-2.23%,-7.89%,-4.54%,-5.24%,-5.36%,-0.09%,-0.29%,-0.23%,-0.13%,-0.47%,-0.48%,-0.45%,-0.31%,-34.97%,-28.49%,-29.02%,-29.26%,3.94%,-1.40%,-1.20%,-14.80%,-14.75%,-15.13%,-15.18%,-1.66%,-2.28%,-1.01%,-1.14%,Upgrade
