Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+14 Quarters
Market Capitalization,"1,260","1,688","2,625","2,663","2,909","3,722","3,769","3,882","3,981","4,081","3,213","2,025","1,871","1,753","3,471","3,196","3,319","3,293","3,086","3,729","4,333","4,239","4,350","3,799","3,601","3,966","3,925","3,145","3,199","3,588","3,733","3,699","3,716","3,345","2,945","3,098","3,403","3,531","3,323","3,141","2,613",Upgrade
Market Cap Growth,-,-54.66%,-30.36%,-31.41%,-26.92%,-8.80%,17.31%,91.74%,112.76%,132.88%,-7.43%,-36.66%,-43.63%,-46.78%,12.49%,-14.30%,-23.40%,-22.31%,-29.06%,-1.83%,20.32%,6.87%,10.82%,20.78%,12.57%,10.52%,5.14%,-14.97%,-13.90%,7.26%,26.77%,19.38%,9.18%,-5.25%,-11.37%,-1.36%,30.23%,45.01%,43.92%,35.73%,17.93%,Upgrade
Enterprise Value,"8,627","9,054","8,383","7,953","7,122","7,340","6,280","6,726","6,488","6,775","6,841","6,676","6,942","6,559","8,266","8,475","8,710","8,655","8,077","8,973","9,427","8,838","9,329","8,780","8,725","8,904","9,119","8,505","8,186","8,004","7,877","7,517","7,294","6,335","6,076","5,344","5,723","5,741","5,484","4,985","4,598",Upgrade
PE Ratio,4.88,6.23,9.21,7.70,8.43,9.71,9.08,10.34,11.21,12.46,16.24,10.04,8.86,8.11,11.09,11.58,11.17,10.78,9.50,5.40,6.56,6.65,7.08,14.62,14.83,17.01,17.39,14.38,11.84,13.80,14.83,15.27,19.20,17.12,14.42,14.77,16.17,16.35,15.90,14.42,12.31,Upgrade
PS Ratio,1.36,1.82,2.87,2.84,3.18,3.89,3.78,3.98,4.24,4.62,4.55,2.89,2.57,2.33,3.90,3.25,3.16,2.99,2.67,3.33,3.98,3.98,4.18,3.77,3.70,4.19,4.24,3.50,3.64,4.25,4.65,4.92,5.08,4.67,4.09,4.29,4.76,4.98,4.87,4.67,3.98,Upgrade
PB Ratio,0.51,0.68,1.08,1.07,1.16,1.30,1.24,1.25,1.26,1.33,1.08,0.71,0.68,0.70,1.17,1.10,1.16,1.13,1.06,1.21,1.40,1.40,1.44,1.45,1.40,1.57,1.62,1.33,1.37,1.59,1.66,1.67,1.73,1.58,1.44,1.52,1.69,1.78,1.72,1.67,1.41,Upgrade
Debt / Equity Ratio,3.33,3.33,2.60,2.42,1.89,1.51,0.93,1.08,1.08,1.22,1.35,1.75,1.99,2.21,1.68,1.89,2.03,1.92,1.84,1.80,1.77,1.58,1.71,2.01,2.07,2.04,2.33,2.37,2.29,2.06,1.97,1.85,1.74,1.56,1.62,1.27,1.34,1.25,1.25,1.26,1.19,Upgrade
Dividend Yield,6.02%,1.11%,0.74%,0.73%,0.70%,0.52%,0.54%,0.55%,0.54%,0.52%,0.66%,1.05%,1.14%,1.12%,0.57%,0.62%,0.62%,0.63%,0.70%,0.59%,0.51%,0.53%,0.52%,0.59%,0.62%,0.56%,0.56%,0.70%,0.68%,0.61%,-,0.59%,0.58%,0.64%,0.72%,0.69%,0.63%,1.21%,-,1.35%,-,Upgrade
Payout Ratio,28.70%,35.20%,30.50%,22.10%,30.50%,29.10%,16.40%,24.50%,20.50%,21.70%,25.80%,32.90%,28.70%,-63.60%,23.10%,26.90%,25.90%,32.30%,41.20%,23.30%,25.60%,26.90%,5.50%,33.90%,35.00%,36.80%,35.60%,44.70%,39.60%,41.20%,0.00%,21.90%,47.70%,47.70%,47.70%,41.20%,45.70%,79.20%,0.00%,80.80%,0.00%,Upgrade
Buyback Yield / Dilution,11.74%,11.74%,13.27%,16.05%,12.29%,8.82%,3.57%,-0.45%,-0.92%,0.91%,2.69%,2.80%,6.08%,4.94%,7.88%,9.76%,7.25%,7.00%,3.51%,1.36%,0.71%,0.27%,-2.57%,-2.55%,-2.59%,-2.02%,-0.60%,-0.66%,-0.70%,-1.97%,-1.84%,-1.82%,-1.74%,-0.62%,-0.72%,-0.91%,-1.17%,-6.85%,-6.85%,-7.10%,-6.91%,Upgrade
Total Shareholder Return,17.76%,12.84%,14.00%,16.78%,12.99%,9.34%,4.11%,0.10%,-0.38%,1.44%,3.36%,3.85%,7.22%,6.07%,8.45%,10.39%,7.88%,7.63%,4.22%,1.95%,1.23%,0.79%,-2.06%,-1.95%,-1.96%,-1.46%,-0.04%,0.04%,-0.02%,-1.36%,-1.84%,-1.23%,-1.15%,0.02%,0.01%,-0.22%,-0.54%,-5.64%,-6.85%,-5.75%,-6.91%,Upgrade
