Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,"1,636","1,667","1,078","1,409","1,536","1,970","1,743","1,547","1,448",-
Market Cap Growth,-,-15.38%,-38.18%,-8.91%,6.05%,-,-,-,-,-
Enterprise Value,"3,016","3,039","2,736","1,526","2,901","3,628","2,043","1,847","1,748",300
PE Ratio,4.55,6.41,2.20,4.26,14.49,18.08,-39.62,-,206.87,-
PS Ratio,0.27,0.28,0.21,0.17,0.18,0.26,0.24,0.59,3.04,-
PB Ratio,0.90,0.92,0.74,2.15,1.18,1.16,1.22,1.08,1.01,-
Debt / Equity Ratio,2.05,2.05,2.62,4.99,2.65,2.23,0.48,0.48,0.48,0.48
Dividend Yield,1.78%,-,-,0.34%,0.31%,0.24%,0.21%,0.23%,-,-
Payout Ratio,4.10%,0.00%,0.00%,2.20%,233.30%,2.10%,-6.00%,-31.00%,-,-
Buyback Yield / Dilution,-46.76%,-46.76%,-23.75%,-23.75%,-23.75%,-,-,-,-,-
Total Shareholder Return,-44.97%,-46.76%,-23.75%,-23.40%,-23.43%,0.24%,0.21%,0.23%,-,-
