Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Market Capitalization,270,333,414,412,435,423,454,432,411,443,329,274,285,262,379,354,365,345,355,362,364,368,339,354,353,-,-,-,-,-,-
Market Cap Growth,-,-21.33%,-8.95%,-4.72%,5.91%,-4.48%,38.21%,57.68%,44.16%,68.92%,-13.32%,-22.48%,-21.85%,-23.99%,6.95%,-2.20%,0.09%,-6.34%,4.59%,2.20%,3.15%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,514,577,653,571,554,274,41,105,48,127,133,228,234,229,365,378,346,311,423,461,412,373,319,351,323,-68,-24,-,-,-,-38
PE Ratio,7.26,8.76,10.23,9.90,10.89,10.69,11.41,10.66,9.91,13.81,11.99,11.03,12.81,9.63,14.43,13.91,15.86,15.99,17.21,21.41,22.85,24.11,23.48,23.27,24.47,-,-,-,-,-,-
PS Ratio,2.12,2.62,3.20,3.20,3.46,3.43,3.73,3.54,3.40,4.17,3.29,2.90,3.17,2.71,4.01,3.85,4.11,4.03,4.33,4.63,4.87,5.07,4.77,5.10,5.22,-,-,-,-,-,-
PB Ratio,0.90,1.11,1.40,1.43,1.54,1.45,1.50,1.45,1.43,1.58,1.21,1.03,1.10,1.03,1.45,1.38,1.46,1.38,1.45,1.49,1.52,1.78,1.64,1.71,1.73,-,-,-,-,-,-
Debt / Equity Ratio,1.34,1.34,1.17,0.98,0.67,0.25,0.29,0.27,0.29,0.39,0.57,0.55,0.54,0.45,0.29,0.33,0.30,0.30,0.57,0.63,0.61,0.44,0.35,0.44,0.26,0.52,0.94,-,-,-,0.72
Dividend Yield,3.89%,0.83%,0.64%,0.64%,0.61%,0.63%,0.53%,0.56%,0.59%,0.54%,0.67%,0.80%,0.73%,0.82%,0.55%,0.59%,0.55%,0.58%,0.57%,0.50%,0.43%,0.42%,0.46%,0.41%,0.41%,-,-,-,-,-,-
Payout Ratio,27.90%,33.30%,32.40%,23.90%,24.40%,24.70%,26.30%,26.00%,23.00%,22.00%,24.40%,23.80%,211.10%,38.00%,41.90%,27.70%,32.70%,37.80%,30.90%,34.90%,34.10%,35.90%,58.30%,35.10%,32.50%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,1.21%,1.21%,1.22%,1.25%,0.46%,-0.30%,-10.15%,-9.48%,-9.46%,-6.36%,4.84%,4.72%,5.91%,4.02%,3.00%,3.35%,-5.84%,-6.77%,-7.51%,-8.15%,-0.05%,-0.05%,-0.05%,-,-,-,-,-,-,-,-
Total Shareholder Return,5.10%,2.03%,1.85%,1.88%,1.07%,0.33%,-9.61%,-8.92%,-8.87%,-5.82%,5.51%,5.52%,6.64%,4.84%,3.55%,3.94%,-5.30%,-6.19%,-6.94%,-7.66%,0.38%,0.37%,0.41%,0.41%,0.41%,-,-,-,-,-,-
