Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+67 Quarters
Market Capitalization,496,479,459,437,425,341,413,424,337,276,265,277,347,232,379,358,525,517,422,583,656,719,664,516,418,442,576,597,408,163,274,331,399,490,630,531,628,587,635,914,916,Upgrade
Market Cap Growth,-,40.18%,11.08%,2.94%,26.35%,23.56%,55.96%,53.20%,-2.94%,19.14%,-30.06%,-22.61%,-33.93%,-55.12%,-10.24%,-38.59%,-20.00%,-28.12%,-36.42%,12.98%,56.99%,62.48%,15.23%,-13.60%,2.50%,171.40%,110.47%,80.36%,2.31%,-66.72%,-56.54%,-37.66%,-36.54%,-16.49%,-0.84%,-41.93%,-31.44%,-49.16%,-37.85%,-22.11%,-23.39%,Upgrade
Enterprise Value,644,626,634,558,532,432,520,463,339,244,262,287,379,330,508,228,415,398,324,482,570,664,631,434,374,416,592,606,430,242,402,313,349,537,729,614,736,587,649,910,903,Upgrade
PE Ratio,21.32,16.20,8.96,8.71,9.59,11.54,20.62,49.27,-20.68,-14.39,-4.05,-4.05,-7.58,-6.25,53.01,140.85,292.68,39.48,19.83,15.63,13.19,17.73,17.94,16.42,17.66,34.76,-8.71,-7.39,-2.31,-0.90,-2.53,-3.71,-4.27,-6.15,-8.41,-7.84,-81.50,-33.48,61.52,40.99,10.12,Upgrade
PS Ratio,0.51,0.49,0.49,0.49,0.50,0.43,0.54,0.58,0.48,0.37,0.34,0.34,0.40,0.27,0.44,0.42,0.63,0.62,0.51,0.72,0.83,0.93,0.87,0.69,0.56,0.60,0.78,0.82,0.57,0.23,0.38,0.46,0.66,0.74,0.89,0.71,0.83,0.76,0.80,1.13,0.90,Upgrade
PB Ratio,0.70,0.67,0.65,0.63,0.62,0.51,0.63,0.63,0.50,0.41,0.40,0.43,0.51,0.34,0.50,0.48,0.70,0.70,0.57,0.79,0.89,1.05,0.99,0.78,0.67,0.72,0.96,1.00,0.72,0.28,0.41,0.51,0.51,0.60,0.77,0.64,0.67,0.63,0.69,1.02,0.98,Upgrade
Debt / Equity Ratio,0.85,0.85,0.85,0.79,0.79,0.78,0.80,0.71,0.68,0.65,0.67,0.70,0.68,0.68,0.63,0.32,0.32,0.58,0.57,0.56,0.57,0.44,0.44,0.43,0.42,0.43,0.47,0.48,0.37,0.57,0.54,0.30,0.27,0.51,0.55,0.51,0.46,0.26,0.30,0.28,0.25,Upgrade
Current Ratio,4.72,4.72,4.76,4.21,4.35,4.47,4.26,3.94,4.17,4.99,4.86,4.48,5.01,5.30,5.35,6.65,8.07,2.93,2.92,2.88,2.70,3.23,7.77,8.01,6.61,6.66,6.03,5.08,2.61,2.42,2.63,2.46,3.22,3.42,3.66,4.28,4.26,4.45,4.40,3.62,3.73,Upgrade
Buyback Yield / Dilution,32.47%,32.47%,-2.23%,-45.25%,-47.60%,-48.04%,-47.85%,-3.21%,-1.51%,-0.26%,0.47%,4.98%,0.76%,-0.11%,-1.19%,3.96%,4.26%,3.75%,1.17%,-10.64%,-6.60%,-6.03%,-2.71%,-1.69%,-0.32%,1.07%,1.27%,1.83%,1.23%,-1.39%,-2.26%,-3.08%,-0.87%,0.74%,1.22%,2.44%,-0.26%,-0.62%,-4.32%,-5.68%,-5.68%,Upgrade
Total Shareholder Return,32.47%,32.47%,-2.23%,-45.25%,-47.60%,-48.04%,-47.85%,-3.21%,-1.51%,-0.26%,0.47%,4.98%,0.76%,-0.11%,-1.19%,3.96%,4.26%,3.75%,1.17%,-10.64%,-6.60%,-6.03%,-2.71%,-1.69%,-0.32%,1.07%,1.27%,1.83%,1.23%,-1.39%,-2.26%,-3.08%,-0.87%,0.74%,1.22%,2.44%,-0.26%,-0.62%,-4.32%,-5.68%,-5.68%,Upgrade
