Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Market Capitalization,279,119,309,234,832,"1,016",982,-,-,-,-,-,-
Market Cap Growth,-,-88.31%,-68.50%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,257,103,221,147,688,706,815,-123,-98,-21,-,-,-5
PE Ratio,-0.42,-0.42,-2.22,-3.70,10.45,9.30,13.04,-,-,-,-,-,-
PS Ratio,10.09,4.39,3.38,1.95,3.94,4.90,6.28,-,-,-,-,-,-
PB Ratio,1.94,0.84,1.35,0.90,2.14,2.35,3.68,-,-,-,-,-,-
Debt / Equity Ratio,0.26,0.26,0.16,0.16,0.12,0.10,0.17,0.25,0.36,0.13,-,-,0.24
Current Ratio,2.86,2.86,3.75,3.11,7.66,17.47,14.91,12.70,10.91,2.92,-,-,2.53
Buyback Yield / Dilution,-0.35%,-0.35%,-2.63%,-3.84%,-25.45%,-13.41%,-12.79%,-5.25%,-16.53%,-11.09%,-,-,-
Total Shareholder Return,-0.35%,-0.35%,-2.63%,-3.84%,-25.45%,-13.41%,-12.79%,-5.25%,-16.53%,-11.09%,-,-,-
