Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Market Capitalization,"1,232","1,357","1,498","1,631","1,566","1,791","1,906","1,776","1,773","1,911","1,652","1,181","1,293",903,"2,049","1,641","1,880","1,986","1,715","2,836","2,501","2,455","1,934","1,952","1,817","1,700","1,674","1,318",-,-,-
Market Cap Growth,-,-24.20%,-21.39%,-8.15%,-11.66%,-6.31%,15.40%,50.38%,37.14%,111.75%,-19.41%,-28.03%,-31.23%,-54.55%,19.53%,-42.15%,-24.82%,-19.08%,-11.33%,45.28%,37.62%,44.36%,15.51%,48.08%,-,-,-,-,-,-,-
Enterprise Value,19,185,-430,318,399,-140,-102,-362,-822,-499,"-1,466",-784,-694,-932,-357,"-1,821",12,-472,-196,"1,721",888,726,516,524,214,-50,-311,-49,-,-,"-2,172"
PE Ratio,5.18,5.85,7.00,8.47,8.95,10.83,11.72,10.89,11.53,12.87,11.22,7.92,8.03,5.46,11.57,8.91,9.79,9.78,8.79,15.37,14.27,15.19,12.62,18.94,22.18,23.75,28.68,21.33,-,-,-
PS Ratio,2.09,2.39,2.73,3.10,3.06,3.56,3.81,3.56,3.57,3.92,3.34,2.34,2.51,1.71,3.85,3.09,3.54,3.76,3.31,5.62,5.14,5.23,4.25,4.43,4.25,4.12,4.16,3.46,-,-,-
PB Ratio,1.27,1.45,1.73,2.16,1.95,2.13,1.95,1.82,1.83,2.04,1.68,1.19,1.31,0.92,2.13,1.70,2.02,2.22,1.94,3.25,2.95,2.98,2.35,2.43,2.36,2.30,2.36,1.37,-,-,-
Debt / Equity Ratio,0.18,0.18,0.20,0.23,0.21,0.20,0.18,0.18,0.18,0.18,0.17,0.20,0.24,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.16,0.16,0.12,-,-,0.16
Dividend Yield,7.12%,1.63%,1.48%,1.36%,1.41%,1.23%,1.15%,1.24%,1.24%,1.15%,1.41%,1.97%,1.80%,2.58%,1.19%,1.48%,1.30%,1.23%,1.21%,0.73%,0.83%,0.85%,0.88%,0.87%,0.94%,1.00%,0.32%,-,-,-,-
Payout Ratio,37.60%,35.20%,34.40%,37.90%,44.40%,48.90%,52.40%,55.00%,55.00%,52.40%,52.40%,72.10%,64.70%,57.10%,53.00%,55.00%,60.30%,45.40%,40.90%,41.80%,42.20%,47.50%,43.80%,42.70%,48.50%,47.80%,-40.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.73%,-0.73%,-0.49%,-0.48%,-0.40%,0.20%,5.65%,5.65%,5.65%,5.65%,4.25%,4.25%,4.25%,4.25%,-1.22%,-1.22%,-1.22%,-1.22%,-2.64%,-2.64%,-2.64%,-2.64%,-0.07%,-0.07%,-,-,-,-,-,-,-
Total Shareholder Return,6.63%,0.90%,0.98%,0.88%,1.01%,1.43%,6.80%,6.89%,6.89%,6.80%,5.66%,6.23%,6.06%,6.84%,-0.03%,0.27%,0.08%,0.01%,-1.43%,-1.91%,-1.81%,-1.80%,0.81%,0.80%,0.94%,1.00%,0.32%,-,-,-,-
