Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,"1,291","1,451","1,419","1,470","1,287","1,828","1,977","2,153","1,947","2,211",383,367,390,370,368,364,360,356,319
Market Cap Growth,-,-20.58%,-28.22%,-31.73%,-33.92%,-17.36%,416.46%,485.93%,399.56%,498.27%,3.95%,0.87%,8.28%,3.94%,15.26%,-,-,-,-
Enterprise Value,"1,622","1,791","1,737","1,772","1,615","2,160","2,271","2,424","2,074","2,340",520,373,393,372,737,367,362,358,322
PE Ratio,68.60,104.69,71.60,49.57,42.03,77.24,92.02,190.38,268.50,335.28,94.53,-100.93,-195.02,-369.89,-,100.05,180.06,355.74,-
PS Ratio,2.91,3.30,3.18,2.74,2.48,3.43,3.72,4.34,4.06,4.91,0.89,0.53,0.66,0.74,0.88,0.96,0.95,0.94,0.84
PB Ratio,-56.08,-56.08,-71.60,-77.73,-73.01,-90.46,-76.89,-57.25,-97.39,-103.03,-13.04,73.49,77.95,73.93,-1.17,72.85,71.99,71.13,63.89
Debt / Equity Ratio,-15.52,-15.52,-20.34,-21.36,-23.08,-20.24,-15.19,-10.40,-19.62,-13.28,-11.42,1.21,1.06,0.57,-1.42,0.57,0.57,0.57,0.55
Dividend Yield,6.07%,-,1.45%,1.28%,1.47%,1.04%,0.97%,0.79%,0.78%,0.51%,-,-,-,-,-,-,-,-,-
Payout Ratio,100.00%,0.00%,110.00%,142.90%,58.80%,90.90%,31.20%,100.00%,800.00%,100.00%,0.00%,-,-,-,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,1.61%,1.61%,2.32%,0.52%,-0.29%,-0.42%,-10.15%,-29.85%,-24.39%,-17.15%,-11.30%,-20.96%,0.27%,-0.83%,-12.20%,-352.13%,-474.77%,-470.05%,-412.29%
Total Shareholder Return,7.73%,1.61%,3.77%,1.80%,1.18%,0.62%,-9.18%,-29.06%,-23.62%,-16.64%,-11.30%,-20.96%,0.27%,-0.83%,-12.20%,-352.13%,-474.77%,-470.05%,-412.29%
