Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
Market Capitalization,10,10,7,13,11,37,62,22,23,35,10,3,5,2,2,3,4,3,3,3,3,3,5,6,14,14,13,27,27,27,29,-,-,-,-,-,-
Market Cap Growth,-,-72.73%,-88.39%,-42.65%,-54.07%,7.57%,503.13%,560.89%,346.20%,1835.93%,329.41%,17.49%,38.78%,-43.35%,-11.47%,-9.46%,35.71%,15.88%,-47.95%,-45.45%,-79.90%,-79.83%,-61.18%,-78.34%,-49.00%,-49.74%,-54.22%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,6,6,-1,-0,-9,10,25,-1,-7,17,-1,-8,-1,1,5,5,5,4,-3,3,2,2,5,10,18,17,16,29,27,27,28,6,-,-,5,-,7
PE Ratio,-0.35,-0.35,-0.25,-0.86,-0.78,-7.00,13.08,2.28,1.87,39.28,-2.55,-0.60,-1.69,-0.58,-0.80,-1.88,-2.05,-3.45,-5.75,-1.10,-0.40,-0.33,-0.60,-0.90,-5.22,-5.81,-5.67,-14.29,-28.32,-59.21,-1455.50,-,-,-,-,-,-
PS Ratio,2.72,2.65,4.17,13.44,10.88,34.85,69.23,20.97,21.41,31.67,8.17,2.32,2.98,0.87,1.01,1.08,1.31,1.03,0.80,0.79,0.65,0.63,1.19,1.47,3.54,3.13,2.74,4.62,4.23,3.89,4.22,-,-,-,-,-,-
PB Ratio,0.24,0.23,0.15,0.20,0.16,0.64,1.02,0.71,0.64,1.37,0.90,0.28,0.84,0.75,0.85,0.61,0.76,0.59,0.47,3.40,1.84,3.09,5.81,-3.38,4.59,3.60,3.22,5.68,4.97,4.59,4.68,-,-,-,-,-,-
Debt / Equity Ratio,0.01,0.01,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.04,0.05,0.07,0.12,1.34,0.97,0.84,0.80,0.01,0.61,0.29,0.02,0.04,-2.78,1.65,1.33,1.24,1.23,1.17,1.18,1.20,-2.72,-,-,-6.50,-,-3.24
Current Ratio,3.13,3.13,4.74,8.86,24.67,35.05,35.21,26.39,52.16,29.26,20.36,17.04,16.52,2.62,0.43,-,-,-,23.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-0.24%,-0.24%,-65.15%,-141.48%,-141.41%,-140.11%,-388.46%,-176.88%,-592.59%,-741.22%,-158.90%,-212.38%,-24.91%,-3.23%,-214.46%,-401.21%,-401.22%,-400.85%,-181.56%,-89.49%,-89.49%,-89.49%,-7.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Shareholder Return,-0.24%,-0.24%,-65.15%,-141.48%,-141.41%,-140.11%,-388.46%,-176.88%,-592.59%,-741.22%,-158.90%,-212.38%,-24.91%,-3.23%,-214.46%,-401.21%,-401.22%,-400.85%,-181.56%,-89.49%,-89.49%,-89.49%,-7.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
