Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Market Capitalization,313,267,190,213,542,433,628,575,825,"1,291",-,-,-,-,-,-
Market Cap Growth,-,-38.33%,-69.80%,-62.92%,-34.25%,-66.46%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,505","1,459","1,520","1,877","3,135","3,903","6,365","7,746","6,796","6,766","3,263","2,153",-,-,"1,821",598
PE Ratio,-0.86,-0.86,-1.16,-1.98,9.35,14.85,3.78,1.73,1.57,1.69,-,-,-,-,-,-
PS Ratio,-26.42,-26.42,0.74,0.51,0.79,0.62,0.65,0.47,0.56,0.75,-,-,-,-,-,-
PB Ratio,0.66,0.57,0.31,0.33,0.74,0.55,0.81,0.76,1.16,1.65,-,-,-,-,-,-
Debt / Equity Ratio,2.77,2.77,2.38,2.83,3.76,4.68,7.65,9.69,8.77,7.33,3.73,3.32,-,-,4.64,1.55
Dividend Yield,1.76%,-,-,-,1.02%,1.29%,0.89%,3.64%,-,-,-,-,-,-,-,-
Payout Ratio,-1.80%,0.00%,0.00%,0.00%,-12.50%,44.40%,30.80%,29.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,0.63%,0.63%,0.81%,0.80%,0.53%,-0.30%,-0.48%,-0.45%,-0.14%,0.00%,-,-,-,-,-,-
Total Shareholder Return,2.39%,0.63%,0.81%,0.80%,1.55%,0.99%,0.41%,3.19%,-0.14%,0.00%,-,-,-,-,-,-
