Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,247,305,405,345,316,-,-,-,-,-,-
Enterprise Value,173,231,398,299,249,-135,-58,-,-,-,-86
PE Ratio,8.12,10.02,12.74,11.06,10.57,-,-,-,-,-,-
PS Ratio,3.55,4.39,5.63,4.85,4.57,-,-,-,-,-,-
PB Ratio,1.12,1.38,1.90,1.70,1.52,-,-,-,-,-,-
Debt / Equity Ratio,0.13,0.13,0.26,0.14,0.26,0.23,0.23,-,-,-,0.28
Dividend Yield,0.93%,-,-,-,0.89%,-,-,-,-,-,-
Payout Ratio,9.30%,0.00%,0.00%,0.00%,35.70%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-3.78%,-3.78%,-3.45%,-,-,-,-,-,-,-,-
Total Shareholder Return,-3.78%,-3.78%,-3.45%,-,0.89%,-,-,-,-,-,-
