Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+25 Quarters
Market Capitalization,83,111,140,163,172,176,189,199,174,159,154,129,103,92,158,149,141,125,120,156,168,157,128,120,118,108,104,80,76,75,80,74,65,63,57,54,53,53,52,52,54,Upgrade
Market Cap Growth,-,-36.74%,-26.13%,-18.22%,-1.22%,10.34%,22.64%,54.36%,68.82%,73.66%,-2.16%,-13.13%,-26.84%,-26.28%,32.00%,-5.06%,-16.40%,-20.74%,-6.57%,30.69%,42.19%,45.02%,23.32%,50.20%,55.42%,44.63%,29.64%,7.39%,16.99%,18.28%,40.06%,36.60%,23.21%,19.41%,10.50%,4.42%,-2.34%,5.41%,12.41%,13.12%,29.65%,Upgrade
Enterprise Value,528,557,573,516,588,491,426,436,561,565,651,600,569,358,374,353,285,264,209,224,220,262,238,204,177,188,181,171,160,155,154,158,143,129,142,119,118,124,140,126,116,Upgrade
PE Ratio,7.89,10.46,10.02,10.59,9.12,8.58,7.90,6.74,4.36,3.13,3.87,3.87,4.37,7.33,9.45,9.19,10.35,10.11,11.46,14.36,16.03,15.98,12.32,12.86,12.10,11.33,11.54,10.16,11.15,11.09,12.08,11.28,10.63,11.77,10.60,10.41,10.13,10.82,11.39,11.50,12.59,Upgrade
PS Ratio,0.94,1.26,1.39,1.48,1.43,1.35,1.26,1.11,0.80,0.67,0.76,0.75,0.77,0.92,1.64,1.80,2.08,2.15,2.29,3.28,3.81,3.84,3.30,3.26,3.26,3.57,3.58,2.85,2.92,2.47,2.67,2.53,2.29,2.28,2.03,1.96,1.91,1.98,1.99,2.03,2.17,Upgrade
PB Ratio,0.50,0.67,0.87,1.08,1.01,0.98,1.03,1.11,0.98,0.92,0.93,0.82,0.72,0.79,1.27,1.23,1.22,1.15,1.16,1.58,1.72,1.65,1.34,1.29,1.30,1.24,1.22,0.92,0.91,0.92,0.83,0.79,0.71,0.69,0.64,0.62,0.62,0.64,0.63,0.63,0.66,Upgrade
Debt / Equity Ratio,2.93,2.93,2.96,2.62,2.69,1.93,1.52,1.51,2.32,2.54,3.22,3.23,3.48,2.50,2.10,2.05,1.84,1.69,1.25,1.14,0.94,1.54,1.60,1.30,1.12,1.32,1.26,1.43,1.33,1.31,1.10,1.18,1.10,0.96,1.21,0.99,1.01,1.11,1.33,1.17,1.01,Upgrade
Dividend Yield,4.42%,0.87%,0.65%,0.56%,0.54%,0.53%,0.91%,-,0.50%,0.27%,0.26%,0.31%,0.39%,0.44%,0.24%,0.25%,0.27%,0.30%,0.30%,0.23%,0.21%,0.23%,0.26%,0.28%,0.28%,0.31%,0.29%,0.37%,0.39%,0.40%,0.34%,0.37%,0.42%,0.43%,0.43%,0.45%,0.46%,0.47%,0.43%,0.44%,0.42%,Upgrade
Payout Ratio,34.40%,25.90%,31.00%,61.90%,35.10%,13.10%,40.00%,0.00%,19.70%,4.10%,4.10%,2.70%,2.60%,-63.30%,10.80%,6.90%,8.50%,10.40%,11.70%,12.40%,10.90%,20.60%,9.20%,13.40%,12.80%,14.20%,12.20%,10.20%,12.80%,17.70%,21.90%,14.70%,12.00%,17.40%,20.20%,17.60%,16.30%,15.90%,21.60%,16.30%,19.40%,Upgrade
Buyback Yield / Dilution,3.84%,3.84%,3.26%,1.79%,0.47%,0.11%,-0.74%,-1.14%,-1.11%,-0.34%,-0.08%,0.36%,0.29%,-0.84%,-0.48%,0.04%,0.22%,0.43%,-0.53%,-0.81%,-1.15%,-1.10%,-1.26%,-2.16%,-1.98%,-1.76%,-1.40%,-1.89%,-2.07%,-2.61%,-3.61%,-2.88%,-2.63%,0.16%,1.91%,3.72%,3.36%,0.84%,-1.04%,-1.86%,-1.82%,Upgrade
Total Shareholder Return,8.26%,4.70%,3.91%,2.35%,1.01%,0.64%,0.17%,-1.14%,-0.61%,-0.07%,0.18%,0.67%,0.68%,-0.40%,-0.24%,0.30%,0.49%,0.73%,-0.23%,-0.58%,-0.94%,-0.88%,-1.00%,-1.88%,-1.70%,-1.45%,-1.11%,-1.52%,-1.68%,-2.21%,-3.26%,-2.51%,-2.21%,0.59%,2.34%,4.17%,3.82%,1.31%,-0.61%,-1.42%,-1.40%,Upgrade
