Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+30 Quarters
Market Capitalization,91,117,137,135,141,156,151,156,147,138,112,92,99,102,154,153,147,166,169,181,210,180,167,188,178,195,216,189,178,179,197,174,186,186,185,161,180,167,173,179,194,Upgrade
Market Cap Growth,-,-25.20%,-9.57%,-13.60%,-3.66%,13.51%,35.54%,70.53%,48.89%,34.40%,-27.43%,-40.29%,-32.83%,-38.15%,-8.96%,-15.24%,-30.23%,-8.06%,1.16%,-3.58%,18.21%,-7.67%,-22.65%,-0.67%,0.12%,9.04%,9.57%,8.33%,-4.39%,-3.67%,6.36%,8.53%,3.35%,11.50%,7.29%,-10.42%,-7.20%,13.37%,21.56%,18.44%,26.97%,Upgrade
Enterprise Value,179,205,264,268,207,232,180,206,194,184,157,194,150,241,274,266,224,310,301,308,414,364,369,361,353,345,358,382,304,246,219,190,216,204,218,243,276,256,238,234,237,Upgrade
PE Ratio,7.51,9.65,10.33,10.57,11.78,12.00,12.34,12.84,13.31,14.69,13.04,10.74,11.02,10.13,14.83,15.46,14.39,16.55,11.33,11.94,14.81,13.87,19.69,20.63,18.09,20.72,24.27,23.64,22.71,20.42,21.50,17.46,18.10,18.08,17.33,13.75,15.57,6.52,7.06,8.13,10.40,Upgrade
PS Ratio,1.78,2.29,2.63,2.62,2.84,3.13,3.12,3.24,3.18,3.14,2.59,2.15,2.31,2.35,3.55,3.59,3.43,3.89,3.51,3.67,4.36,3.86,4.15,4.86,4.72,5.36,6.07,5.50,5.16,5.17,5.81,5.08,5.44,5.44,5.28,4.66,5.35,5.03,5.39,5.88,6.63,Upgrade
PB Ratio,0.57,0.73,0.85,0.85,0.90,0.99,0.96,0.97,0.91,0.87,0.71,0.59,0.64,0.67,0.98,0.99,0.95,1.09,1.10,1.17,1.38,1.21,1.17,1.33,1.24,1.38,1.56,1.25,1.05,1.06,1.15,1.00,1.05,1.03,1.02,0.88,0.99,0.89,0.94,0.97,1.04,Upgrade
Debt / Equity Ratio,1.06,1.06,0.94,1.00,0.64,0.66,0.64,0.80,0.78,0.81,0.81,0.83,0.82,1.09,0.91,0.81,0.70,1.11,0.97,0.99,1.49,1.37,1.53,1.39,1.35,1.24,1.26,1.49,0.97,0.56,0.75,0.79,0.77,0.77,0.76,0.76,0.75,0.65,0.66,0.41,0.41,Upgrade
Dividend Yield,4.95%,1.02%,0.80%,0.81%,0.77%,0.70%,0.67%,0.67%,0.71%,0.76%,0.86%,1.06%,1.00%,0.97%,0.59%,0.59%,0.62%,0.49%,0.50%,0.46%,0.40%,0.40%,0.43%,0.39%,0.41%,0.32%,0.30%,0.38%,0.42%,0.43%,0.40%,0.47%,0.45%,0.46%,0.39%,0.45%,0.42%,0.46%,0.36%,0.36%,0.39%,Upgrade
Payout Ratio,36.60%,56.50%,33.30%,27.30%,38.70%,33.30%,36.70%,32.40%,27.50%,42.30%,35.70%,45.50%,45.50%,58.80%,33.30%,36.00%,27.30%,42.10%,40.00%,29.60%,26.70%,10.40%,30.40%,38.90%,38.90%,26.10%,21.40%,27.30%,50.00%,42.90%,37.50%,33.30%,35.30%,37.50%,25.00%,26.30%,31.20%,29.40%,15.40%,25.00%,4.20%,Upgrade
Buyback Yield / Dilution,-0.61%,-0.61%,1.41%,4.00%,4.65%,4.70%,3.38%,2.37%,2.96%,4.12%,4.28%,3.16%,2.26%,2.38%,4.31%,4.56%,3.46%,1.12%,-1.66%,-0.40%,0.90%,1.59%,3.37%,13.19%,16.20%,18.61%,18.60%,11.21%,9.96%,9.11%,9.14%,7.25%,7.97%,7.54%,6.49%,9.49%,20.01%,18.89%,12.86%,8.74%,-,Upgrade
Total Shareholder Return,4.33%,0.41%,2.21%,4.81%,5.42%,5.40%,4.05%,3.03%,3.68%,4.89%,5.14%,4.21%,3.25%,3.35%,4.90%,5.15%,4.07%,1.61%,-1.16%,0.06%,1.30%,2.00%,3.81%,13.58%,16.61%,18.93%,18.90%,11.59%,10.38%,9.55%,9.54%,7.72%,8.42%,8.00%,6.88%,9.94%,20.43%,19.35%,13.22%,9.10%,0.39%,Upgrade
